X,Y,CentroidNumber
,,0
X,Y,CentroidNumber
,,0
X,Y,CentroidNumber
,,0
X,Y,CentroidNumber
,,0
X,Y,CentroidNumber
,,0
X,Y,CentroidNumber
,,0
X,Y,CentroidNumber
,,0
X,Y,CentroidNumber
,,0
X,Y,CentroidNumber
,,0
X,Y,CentroidNumber
,,0
X,Y,CentroidNumber
,,0
X,Y,CentroidNumber
,,0
X,Y,CentroidNumber
,,0
X,Y,CentroidNumber
,,0
X,Y,CentroidNumber
,,0
X,Y,CentroidNumber
,,0
X,Y,CentroidNumber
,,0
X,Y,CentroidNumber
,,0
X,Y,CentroidNumber
,,0
X,Y,CentroidNumber
,,0
X,Y,CentroidNumber
,,0
X,Y,CentroidNumber
,,0
X,Y,CentroidNumber
-1.5909034,3.1458478,0
X,Y,CentroidNumber
,,0
X,Y,CentroidNumber
,,0
X,Y,CentroidNumber
,,0
X,Y,CentroidNumber
,,0
X,Y,CentroidNumber
,,0
X,Y,CentroidNumber
,,0
X,Y,CentroidNumber
,,0
X,Y,CentroidNumber
,,0
X,Y,CentroidNumber
-1.4499546,3.2768257,0
X,Y,CentroidNumber
-1.391407,3.2675846,0
X,Y,CentroidNumber
,,0
X,Y,CentroidNumber
-1.4196658,3.3335843,0
X,Y,CentroidNumber
-1.4862083,3.3007543,0
X,Y,CentroidNumber
-1.4591109,3.2475586,0
X,Y,CentroidNumber
-1.4237053,3.2294753,0
X,Y,CentroidNumber
-1.451874,3.2919688,0
X,Y,CentroidNumber
,,0
X,Y,CentroidNumber
-1.4457726,3.23766,0
X,Y,CentroidNumber
-1.4740807,3.2913475,0
X,Y,CentroidNumber
-1.5359176,3.2862616,0
X,Y,CentroidNumber
-1.571014,3.2618792,0
X,Y,CentroidNumber
-1.5127015,3.2402983,0
X,Y,CentroidNumber
-1.532245,3.238965,0
X,Y,CentroidNumber
-1.5139079,3.2166643,0
X,Y,CentroidNumber
-1.5233171,3.2160728,0
X,Y,CentroidNumber
-1.4894958,3.2062745,0
X,Y,CentroidNumber
-1.4809941,3.18391,0
X,Y,CentroidNumber
-1.5931829,3.1619475,0
X,Y,CentroidNumber
-1.4908668,3.159193,0
