,TI,Group 16
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,1.0
28,0.0,1.0
29,0.0,1.0
30,0.0,1.0
31,0.0,1.0
32,0.0,1.0
33,0.0,1.0
34,0.0,1.0
35,0.0,1.0
36,0.0,1.0
37,0.0,1.0
38,0.0,1.0
39,0.0,1.0
40,0.0,1.0
41,0.0,1.0
42,0.0,1.0
43,0.0,1.0
44,0.0,1.0
45,0.0,1.0
46,0.0,1.0
47,1.0,1.0
48,1.0,1.0
49,1.0,1.0
50,1.0,1.0
51,1.0,1.0
52,1.0,1.0
53,1.0,1.0
54,1.0,1.0
55,1.0,1.0
56,1.0,1.0
57,1.0,1.0
58,1.0,1.0
59,1.0,1.0
60,1.0,1.0
61,1.0,1.0
62,1.0,1.0
63,1.0,1.0
64,1.0,1.0
65,1.0,1.0
66,1.0,1.0
67,1.0,1.0
68,1.0,1.0
69,1.0,1.0
70,1.0,1.0
71,1.0,1.0
72,1.0,1.0
73,1.0,1.0
74,1.0,1.0
75,1.0,1.0
76,1.0,1.0
77,1.0,1.0
78,1.0,1.0
79,1.0,1.0
80,1.0,0.0
81,1.0,1.0
82,1.0,1.0
83,1.0,1.0
84,1.0,1.0
85,1.0,1.0
86,1.0,2.0
87,1.0,2.0
88,1.0,2.0
89,1.0,2.0
90,1.0,2.0
91,1.0,2.0
92,1.0,2.0
93,1.0,2.0
94,1.0,2.0
95,1.0,2.0
96,1.0,2.0
97,1.0,2.0
98,1.0,2.0
99,1.0,2.0
100,1.0,2.0
101,1.0,2.0
102,1.0,2.0
103,1.0,2.0
104,1.0,2.0
105,1.0,2.0
106,1.0,2.0
107,1.0,2.0
108,1.0,2.0
109,1.0,2.0
110,1.0,2.0
111,1.0,2.0
112,1.0,2.0
113,1.0,2.0
114,1.0,2.0
115,1.0,2.0
116,1.0,2.0
117,1.0,2.0
118,1.0,2.0
119,1.0,2.0
120,1.0,2.0
121,1.0,2.0
122,1.0,2.0
123,1.0,2.0
124,1.0,2.0
125,1.0,2.0
126,1.0,2.0
127,1.0,2.0
128,1.0,2.0
129,1.0,2.0
130,1.0,2.0
131,1.0,2.0
132,1.0,2.0
133,1.0,2.0
134,1.0,2.0
135,1.0,2.0
136,1.0,2.0
137,1.0,2.0
138,1.0,2.0
139,1.0,2.0
140,1.0,2.0
141,1.0,2.0
142,1.0,2.0
143,1.0,2.0
144,1.0,2.0
145,1.0,2.0
146,1.0,2.0
147,1.0,2.0
148,1.0,2.0
149,1.0,2.0
150,1.0,2.0
151,1.0,2.0
152,1.0,2.0
153,1.0,2.0
154,1.0,2.0
155,1.0,2.0
156,1.0,2.0
157,1.0,2.0
158,1.0,2.0
159,1.0,2.0
160,1.0,2.0
161,1.0,2.0
162,1.0,2.0
163,1.0,2.0
164,1.0,2.0
165,1.0,2.0
166,1.0,2.0
167,1.0,2.0
168,1.0,2.0
169,1.0,2.0
170,1.0,2.0
171,1.0,2.0
172,1.0,2.0
173,1.0,2.0
174,1.0,2.0
175,1.0,2.0
176,1.0,2.0
177,1.0,2.0
178,1.0,2.0
179,1.0,2.0
180,1.0,2.0
181,1.0,2.0
182,1.0,2.0
183,1.0,2.0
184,1.0,2.0
185,1.0,2.0
186,1.0,2.0
187,1.0,2.0
188,1.0,2.0
189,1.0,2.0
190,1.0,2.0
191,1.0,2.0
192,1.0,2.0
193,1.0,2.0
194,1.0,2.0
195,1.0,2.0
196,1.0,2.0
197,1.0,2.0
198,1.0,2.0
199,1.0,2.0
200,1.0,2.0
201,1.0,2.0
202,1.0,2.0
203,1.0,2.0
204,1.0,2.0
205,1.0,2.0
206,1.0,2.0
207,1.0,2.0
208,1.0,2.0
209,1.0,2.0
210,1.0,2.0
211,1.0,2.0
212,1.0,2.0
213,1.0,2.0
214,1.0,2.0
215,1.0,2.0
216,1.0,2.0
217,1.0,2.0
218,1.0,2.0
219,1.0,2.0
220,1.0,2.0
221,1.0,2.0
222,1.0,2.0
223,1.0,2.0
224,1.0,2.0
225,1.0,2.0
226,1.0,2.0
227,1.0,2.0
228,1.0,2.0
229,1.0,2.0
230,1.0,2.0
231,1.0,2.0
232,1.0,2.0
233,1.0,2.0
234,1.0,2.0
235,1.0,2.0
236,1.0,2.0
237,1.0,2.0
238,1.0,2.0
239,1.0,2.0
240,1.0,2.0
241,1.0,2.0
242,1.0,2.0
243,1.0,2.0
244,1.0,2.0
245,1.0,2.0
246,1.0,2.0
247,1.0,2.0
248,1.0,2.0
249,1.0,2.0
250,1.0,2.0
251,1.0,2.0
252,1.0,2.0
253,1.0,2.0
254,1.0,2.0
255,1.0,2.0
256,1.0,2.0
257,1.0,2.0
258,1.0,2.0
259,1.0,2.0
260,1.0,2.0
261,1.0,2.0
262,1.0,2.0
263,1.0,2.0
264,1.0,2.0
265,1.0,2.0
266,1.0,2.0
267,1.0,2.0
268,1.0,2.0
269,1.0,2.0
270,1.0,2.0
271,1.0,2.0
272,1.0,2.0
273,1.0,2.0
274,1.0,2.0
275,1.0,2.0
276,1.0,2.0
277,1.0,2.0
278,1.0,2.0
279,1.0,2.0
280,1.0,2.0
281,2.0,2.0
282,2.0,2.0
283,2.0,2.0
284,2.0,2.0
285,2.0,2.0
286,2.0,2.0
287,2.0,2.0
288,2.0,2.0
289,2.0,2.0
290,2.0,2.0
291,2.0,2.0
292,2.0,2.0
293,2.0,2.0
294,2.0,2.0
295,2.0,2.0
296,2.0,2.0
297,2.0,2.0
298,2.0,2.0
299,2.0,2.0
300,2.0,2.0
301,2.0,2.0
302,2.0,2.0
303,2.0,2.0
304,2.0,2.0
305,2.0,2.0
306,2.0,2.0
307,2.0,2.0
308,2.0,2.0
309,2.0,2.0
310,2.0,2.0
311,2.0,2.0
312,2.0,2.0
313,2.0,2.0
314,2.0,2.0
315,2.0,2.0
316,2.0,2.0
317,2.0,2.0
318,2.0,2.0
319,2.0,2.0
320,2.0,2.0
321,2.0,2.0
322,2.0,2.0
323,2.0,2.0
324,2.0,2.0
325,2.0,2.0
326,2.0,2.0
327,2.0,2.0
328,2.0,2.0
329,2.0,2.0
330,2.0,2.0
331,2.0,2.0
332,2.0,2.0
333,2.0,2.0
334,2.0,2.0
335,2.0,2.0
336,2.0,2.0
337,2.0,2.0
338,2.0,2.0
339,2.0,2.0
340,2.0,2.0
341,2.0,2.0
342,2.0,2.0
343,2.0,2.0
344,2.0,2.0
345,2.0,2.0
346,2.0,2.0
347,2.0,2.0
348,2.0,2.0
349,2.0,2.0
350,2.0,2.0
351,2.0,2.0
352,2.0,2.0
353,2.0,2.0
354,2.0,2.0
355,2.0,2.0
356,2.0,2.0
357,2.0,2.0
358,2.0,2.0
359,2.0,2.0
360,2.0,2.0
361,2.0,2.0
362,2.0,2.0
363,2.0,2.0
364,2.0,2.0
365,2.0,2.0
366,2.0,2.0
367,2.0,2.0
368,2.0,2.0
369,2.0,2.0
370,2.0,2.0
371,2.0,2.0
372,2.0,2.0
373,2.0,2.0
374,2.0,2.0
375,2.0,2.0
376,2.0,2.0
377,2.0,2.0
378,2.0,2.0
379,2.0,2.0
380,2.0,2.0
381,2.0,2.0
382,2.0,2.0
383,2.0,2.0
384,2.0,2.0
385,2.0,2.0
386,2.0,2.0
387,2.0,2.0
388,2.0,2.0
389,2.0,2.0
390,2.0,2.0
391,2.0,2.0
392,2.0,2.0
393,2.0,2.0
394,2.0,2.0
395,2.0,2.0
396,2.0,2.0
397,2.0,2.0
398,2.0,2.0
399,2.0,2.0
400,2.0,2.0
401,2.0,2.0
402,2.0,2.0
403,2.0,2.0
404,2.0,2.0
405,2.0,2.0
406,2.0,2.0
407,2.0,2.0
408,2.0,2.0
409,2.0,2.0
410,2.0,2.0
411,2.0,2.0
412,2.0,2.0
413,2.0,2.0
414,2.0,2.0
415,2.0,2.0
416,2.0,2.0
417,2.0,2.0
418,2.0,2.0
419,2.0,2.0
420,2.0,2.0
421,2.0,2.0
422,2.0,2.0
423,2.0,2.0
424,2.0,2.0
425,2.0,2.0
426,2.0,2.0
