,TI,Group 16
0,1,0
1,1,1
2,1,1
3,1,1
4,1,1
5,1,1
6,1,1
7,1,1
8,1,1
9,1,1
10,1,1
11,1,1
12,1,1
13,1,1
14,1,1
15,1,1
16,1,1
17,1,1
18,1,1
19,1,1
20,1,1
21,1,1
22,1,1
23,1,1
24,1,1
25,1,1
26,1,1
27,1,1
28,1,1
29,1,1
30,1,1
31,1,1
32,1,1
33,1,1
34,1,1
35,1,1
36,1,1
37,1,1
38,1,1
39,1,1
40,1,1
41,1,1
42,1,1
43,1,1
44,1,1
45,1,1
46,1,1
47,1,1
48,1,1
49,1,1
50,1,1
51,1,1
52,1,1
53,1,1
54,1,1
55,1,1
56,1,1
57,1,1
58,1,1
59,1,1
60,1,1
61,1,1
62,1,1
63,1,1
64,1,1
65,1,1
66,1,1
67,1,1
68,1,1
69,1,1
70,1,1
71,1,1
72,1,1
73,1,1
74,1,1
75,1,1
76,1,1
77,1,1
78,1,1
79,1,1
80,1,1
81,1,1
82,1,1
83,1,1
84,1,1
85,1,1
86,1,1
87,1,1
88,1,1
89,1,1
90,1,1
91,1,1
92,1,1
93,1,1
94,1,1
95,1,1
96,1,1
97,1,1
98,1,1
99,1,1
100,1,1
101,1,1
102,1,1
103,1,1
104,1,1
105,1,1
106,1,1
107,1,1
108,1,1
109,1,1
110,1,1
111,1,1
112,1,1
113,1,1
114,1,1
115,1,1
116,1,1
117,1,1
118,1,1
119,1,1
120,1,1
121,1,1
122,1,1
123,1,1
124,1,1
125,1,1
126,1,1
127,1,1
128,1,1
129,1,1
130,1,1
131,1,1
132,1,1
133,1,1
134,1,1
135,1,1
136,1,1
137,1,1
138,1,1
139,1,2
140,1,2
141,1,2
142,1,2
143,1,2
144,1,2
145,1,2
146,1,2
147,1,2
148,1,2
149,1,2
150,1,2
151,1,2
152,1,2
153,1,2
154,1,2
155,1,2
156,1,2
157,2,2
158,2,2
159,2,2
160,2,2
161,2,2
162,2,2
163,2,2
164,2,2
165,2,2
166,2,2
167,2,2
168,2,2
169,2,2
170,2,2
171,2,2
172,2,2
173,2,2
174,2,2
175,2,2
176,2,2
177,2,2
178,2,2
179,2,2
180,2,2
181,3,2
182,3,2
183,3,2
184,3,2
185,3,2
186,3,2
187,3,2
188,3,2
189,3,2
190,3,2
191,3,2
192,3,2
193,3,2
194,3,2
195,3,2
196,3,2
197,3,2
198,3,2
199,3,2
200,3,2
201,3,2
202,3,2
203,3,2
204,3,2
205,3,2
206,3,2
207,3,2
208,3,2
209,3,2
210,3,2
211,3,2
212,3,2
213,3,2
214,3,2
215,3,2
216,3,2
217,3,2
218,3,2
219,3,2
220,3,2
221,3,2
222,3,2
223,3,2
224,3,2
225,3,2
226,3,2
227,3,2
228,3,2
229,3,2
230,3,2
231,3,2
232,3,2
233,3,2
234,3,2
235,3,2
236,3,2
237,3,2
238,3,2
239,3,2
240,3,2
241,3,2
242,3,2
243,3,2
244,3,2
245,3,2
246,3,2
247,3,2
248,3,2
249,3,2
250,3,2
251,3,2
252,3,2
253,3,2
254,3,2
255,3,2
256,3,2
257,3,2
258,3,2
259,3,2
260,3,2
261,3,2
262,3,2
263,3,2
264,3,2
265,3,2
266,3,2
267,3,2
268,3,2
269,3,2
270,3,2
271,3,2
272,2,2
273,2,2
274,2,2
275,2,2
276,2,2
277,2,2
278,2,2
279,2,2
280,2,2
281,2,2
282,2,2
283,2,2
284,2,2
285,2,2
286,2,2
287,2,2
288,2,2
289,2,2
290,2,2
291,2,2
292,2,2
293,2,2
294,2,2
295,2,2
296,2,2
297,2,2
298,2,2
299,2,2
300,2,2
301,2,2
302,2,2
303,2,2
304,3,2
305,3,2
306,3,2
307,3,2
308,3,2
309,3,2
310,3,2
311,3,2
312,3,2
313,3,2
314,3,2
315,3,2
316,3,2
317,3,2
318,3,2
319,3,2
320,3,2
321,3,2
322,3,2
323,3,2
324,3,2
325,3,2
326,3,2
327,3,2
328,3,2
329,3,2
330,3,2
331,3,2
332,3,2
333,3,2
334,3,2
335,3,2
336,3,2
337,3,2
338,3,2
339,3,2
340,3,2
341,3,2
342,3,2
343,3,2
344,3,2
345,3,2
346,3,2
347,3,2
348,3,2
349,3,2
350,3,2
351,3,2
352,3,2
353,3,2
354,3,2
355,3,2
356,3,2
357,3,2
358,3,2
359,3,2
360,3,2
361,3,2
362,3,2
363,3,2
364,3,2
365,3,2
366,3,2
367,3,2
368,3,2
369,3,2
370,3,2
371,3,2
372,3,2
373,3,2
374,3,2
375,3,2
376,3,2
377,3,2
378,3,2
379,3,2
380,3,2
381,3,2
382,3,2
383,3,2
384,3,2
385,3,2
386,3,2
387,3,2
388,3,2
389,3,2
390,3,2
391,3,2
392,3,2
393,3,2
394,3,2
395,3,2
396,3,2
397,3,2
398,3,2
399,3,2
400,3,2
401,3,2
402,3,2
403,3,2
404,3,2
405,3,2
406,3,2
407,3,2
408,3,2
409,3,2
410,3,2
411,3,2
412,3,2
413,3,2
414,3,2
415,3,2
416,3,2
417,3,2
418,3,2
419,3,2
420,3,2
421,3,2
422,3,2
423,3,2
424,3,2
425,3,2
426,3,2
427,3,2
428,3,2
429,3,2
430,3,2
431,3,2
432,3,2
433,3,2
434,2,2
435,2,2
436,2,2
437,2,2
438,2,1
439,2,1
440,2,1
441,2,1
442,2,1
443,2,1
444,2,1
445,2,1
446,2,1
447,2,1
448,2,1
449,2,1
450,2,1
451,2,1
452,2,1
453,2,1
454,2,1
