,TI,Group 16
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,1.0
8,0.0,1.0
9,1.0,1.0
10,1.0,1.0
11,1.0,1.0
12,1.0,1.0
13,1.0,1.0
14,1.0,1.0
15,1.0,1.0
16,1.0,1.0
17,1.0,1.0
18,1.0,1.0
19,1.0,1.0
20,1.0,1.0
21,1.0,1.0
22,1.0,1.0
23,1.0,1.0
24,1.0,1.0
25,1.0,1.0
26,1.0,1.0
27,1.0,1.0
28,1.0,1.0
29,1.0,1.0
30,1.0,1.0
31,1.0,1.0
32,1.0,1.0
33,1.0,1.0
34,1.0,1.0
35,1.0,1.0
36,1.0,1.0
37,1.0,1.0
38,1.0,1.0
39,1.0,1.0
40,1.0,1.0
41,1.0,1.0
42,1.0,1.0
43,1.0,1.0
44,1.0,1.0
45,1.0,1.0
46,1.0,1.0
47,1.0,1.0
48,1.0,1.0
49,1.0,1.0
50,1.0,1.0
51,1.0,1.0
52,1.0,1.0
53,1.0,1.0
54,1.0,1.0
55,1.0,1.0
56,1.0,1.0
57,1.0,1.0
58,1.0,1.0
59,1.0,1.0
60,1.0,1.0
61,1.0,1.0
62,1.0,1.0
63,1.0,1.0
64,1.0,1.0
65,1.0,1.0
66,1.0,1.0
67,1.0,1.0
68,1.0,1.0
69,1.0,1.0
70,1.0,1.0
71,1.0,1.0
72,1.0,1.0
73,1.0,1.0
74,1.0,1.0
75,1.0,1.0
76,1.0,1.0
77,1.0,1.0
78,1.0,1.0
79,1.0,1.0
80,1.0,1.0
81,1.0,1.0
82,1.0,1.0
83,1.0,1.0
84,1.0,1.0
85,1.0,1.0
86,1.0,1.0
87,1.0,1.0
88,1.0,1.0
89,1.0,1.0
90,1.0,1.0
91,1.0,1.0
92,1.0,1.0
93,1.0,1.0
94,1.0,1.0
95,1.0,1.0
96,1.0,1.0
97,1.0,1.0
98,1.0,1.0
99,1.0,1.0
100,1.0,1.0
101,1.0,1.0
102,1.0,1.0
103,1.0,1.0
104,1.0,1.0
105,1.0,1.0
106,1.0,1.0
107,1.0,1.0
108,1.0,1.0
109,1.0,1.0
110,1.0,1.0
111,1.0,1.0
112,1.0,1.0
113,1.0,1.0
114,1.0,1.0
115,1.0,1.0
116,1.0,1.0
117,1.0,1.0
118,1.0,1.0
119,1.0,1.0
120,1.0,1.0
121,1.0,1.0
122,1.0,1.0
123,1.0,1.0
124,1.0,1.0
125,1.0,1.0
126,1.0,1.0
127,1.0,1.0
128,1.0,1.0
129,1.0,1.0
130,1.0,1.0
131,1.0,1.0
132,1.0,1.0
133,1.0,1.0
134,1.0,1.0
135,1.0,1.0
136,1.0,1.0
137,1.0,1.0
138,1.0,1.0
139,1.0,1.0
140,1.0,1.0
141,1.0,1.0
142,1.0,1.0
143,1.0,1.0
144,1.0,1.0
145,1.0,0.0
146,1.0,0.0
147,1.0,0.0
148,1.0,0.0
149,1.0,1.0
150,1.0,1.0
151,1.0,1.0
152,1.0,1.0
153,1.0,1.0
154,1.0,2.0
155,1.0,2.0
156,1.0,2.0
157,1.0,2.0
158,1.0,2.0
159,1.0,2.0
160,1.0,2.0
161,1.0,2.0
162,1.0,2.0
163,2.0,2.0
164,2.0,2.0
165,2.0,2.0
166,2.0,2.0
167,2.0,2.0
168,2.0,2.0
169,2.0,2.0
170,2.0,2.0
171,2.0,2.0
172,2.0,2.0
173,2.0,2.0
174,2.0,2.0
175,2.0,2.0
176,2.0,2.0
177,2.0,2.0
178,2.0,2.0
179,2.0,2.0
180,2.0,2.0
181,2.0,2.0
182,2.0,2.0
183,2.0,2.0
184,2.0,2.0
185,2.0,2.0
186,2.0,2.0
187,2.0,2.0
188,2.0,2.0
189,2.0,2.0
190,2.0,2.0
191,2.0,2.0
192,2.0,2.0
193,2.0,2.0
194,2.0,2.0
195,2.0,2.0
196,2.0,2.0
197,2.0,2.0
198,2.0,2.0
199,2.0,2.0
200,2.0,2.0
201,2.0,2.0
202,2.0,2.0
203,2.0,2.0
204,2.0,2.0
205,2.0,2.0
206,2.0,2.0
207,2.0,2.0
208,2.0,2.0
209,2.0,2.0
210,2.0,2.0
211,2.0,2.0
212,2.0,2.0
213,2.0,2.0
214,2.0,2.0
215,2.0,2.0
216,2.0,2.0
217,2.0,2.0
218,2.0,2.0
219,2.0,2.0
220,2.0,2.0
221,2.0,2.0
222,2.0,2.0
223,2.0,2.0
224,2.0,2.0
225,2.0,2.0
226,2.0,2.0
227,2.0,2.0
228,2.0,2.0
229,2.0,2.0
230,2.0,2.0
231,2.0,2.0
232,2.0,2.0
233,2.0,2.0
234,2.0,2.0
235,2.0,2.0
236,2.0,2.0
237,2.0,2.0
238,2.0,2.0
239,2.0,2.0
240,2.0,2.0
241,2.0,2.0
242,2.0,2.0
243,2.0,2.0
244,2.0,2.0
245,2.0,2.0
246,2.0,2.0
247,2.0,2.0
248,2.0,2.0
249,2.0,2.0
250,2.0,2.0
251,2.0,2.0
252,2.0,2.0
253,2.0,2.0
254,2.0,2.0
255,2.0,2.0
256,2.0,2.0
257,2.0,2.0
258,2.0,2.0
259,2.0,2.0
260,2.0,2.0
261,2.0,2.0
262,2.0,2.0
263,2.0,2.0
264,2.0,2.0
265,2.0,2.0
266,2.0,2.0
267,2.0,2.0
268,2.0,2.0
269,2.0,2.0
270,2.0,2.0
271,2.0,2.0
272,2.0,2.0
273,2.0,2.0
274,2.0,2.0
275,2.0,2.0
276,2.0,2.0
277,2.0,2.0
278,2.0,2.0
279,2.0,2.0
280,2.0,2.0
281,2.0,2.0
282,2.0,2.0
283,2.0,2.0
284,2.0,2.0
285,2.0,2.0
286,2.0,2.0
287,2.0,2.0
288,2.0,2.0
289,2.0,2.0
290,2.0,2.0
291,2.0,2.0
292,2.0,2.0
293,2.0,2.0
294,2.0,2.0
295,2.0,2.0
296,2.0,2.0
297,2.0,2.0
298,2.0,2.0
299,2.0,2.0
300,2.0,2.0
301,2.0,2.0
302,2.0,2.0
303,2.0,2.0
304,2.0,2.0
305,2.0,2.0
306,2.0,2.0
307,2.0,2.0
308,2.0,2.0
309,2.0,2.0
310,2.0,2.0
311,2.0,2.0
312,2.0,2.0
313,2.0,2.0
314,2.0,2.0
315,2.0,2.0
316,2.0,2.0
317,2.0,2.0
318,2.0,2.0
319,2.0,2.0
320,2.0,2.0
321,2.0,2.0
322,2.0,2.0
323,2.0,2.0
324,2.0,2.0
325,2.0,2.0
326,2.0,2.0
327,2.0,2.0
328,2.0,2.0
329,2.0,2.0
330,2.0,2.0
331,2.0,2.0
332,2.0,2.0
333,2.0,2.0
334,2.0,2.0
335,2.0,2.0
336,2.0,2.0
337,2.0,2.0
338,2.0,2.0
339,2.0,2.0
340,2.0,2.0
341,2.0,2.0
342,2.0,2.0
343,2.0,2.0
344,2.0,2.0
345,2.0,2.0
346,2.0,2.0
347,2.0,2.0
348,2.0,2.0
349,2.0,2.0
350,2.0,2.0
351,2.0,2.0
352,2.0,2.0
353,2.0,2.0
354,2.0,2.0
355,2.0,2.0
356,2.0,2.0
357,2.0,2.0
358,2.0,2.0
359,2.0,2.0
360,2.0,2.0
361,2.0,2.0
362,2.0,2.0
363,2.0,2.0
364,2.0,2.0
365,2.0,2.0
366,2.0,2.0
367,2.0,2.0
368,2.0,2.0
369,2.0,2.0
370,2.0,2.0
371,2.0,2.0
372,2.0,2.0
373,2.0,2.0
374,2.0,2.0
375,2.0,2.0
376,2.0,2.0
377,2.0,2.0
378,2.0,2.0
379,2.0,2.0
380,2.0,2.0
381,2.0,2.0
382,2.0,2.0
383,2.0,2.0
384,2.0,2.0
385,2.0,2.0
386,2.0,2.0
387,2.0,2.0
388,2.0,2.0
389,2.0,2.0
390,2.0,2.0
391,2.0,2.0
392,2.0,2.0
393,2.0,2.0
394,2.0,2.0
395,2.0,2.0
396,2.0,2.0
397,2.0,2.0
398,2.0,2.0
399,2.0,2.0
400,2.0,2.0
401,2.0,2.0
402,2.0,2.0
403,2.0,2.0
404,2.0,2.0
405,2.0,2.0
406,2.0,2.0
407,2.0,1.0
408,2.0,1.0
409,2.0,1.0
410,2.0,1.0
411,2.0,1.0
412,2.0,1.0
413,2.0,1.0
414,2.0,1.0
415,2.0,1.0
416,2.0,1.0
417,2.0,1.0
418,2.0,1.0
419,2.0,1.0
420,2.0,1.0
421,2.0,1.0
422,2.0,1.0
423,2.0,1.0
424,2.0,1.0
425,2.0,1.0
426,2.0,1.0
