,TI,Group 16
0,2.0,0.0
1,2.0,0.0
2,2.0,0.0
3,2.0,0.0
4,2.0,0.0
5,2.0,0.0
6,2.0,0.0
7,2.0,0.0
8,2.0,0.0
9,2.0,0.0
10,2.0,0.0
11,2.0,0.0
12,2.0,0.0
13,2.0,0.0
14,2.0,0.0
15,2.0,0.0
16,2.0,0.0
17,2.0,0.0
18,2.0,0.0
19,2.0,0.0
20,2.0,0.0
21,2.0,0.0
22,2.0,0.0
23,2.0,1.0
24,2.0,1.0
25,2.0,1.0
26,2.0,1.0
27,2.0,1.0
28,2.0,1.0
29,2.0,1.0
30,2.0,1.0
31,2.0,1.0
32,2.0,1.0
33,2.0,1.0
34,2.0,1.0
35,2.0,1.0
36,2.0,1.0
37,2.0,1.0
38,2.0,1.0
39,2.0,1.0
40,2.0,1.0
41,2.0,1.0
42,2.0,1.0
43,2.0,1.0
44,2.0,1.0
45,2.0,1.0
46,2.0,1.0
47,2.0,1.0
48,2.0,1.0
49,1.0,1.0
50,1.0,1.0
51,1.0,1.0
52,1.0,1.0
53,1.0,1.0
54,1.0,1.0
55,1.0,1.0
56,1.0,1.0
57,1.0,1.0
58,1.0,1.0
59,1.0,1.0
60,1.0,1.0
61,1.0,1.0
62,1.0,1.0
63,1.0,1.0
64,1.0,1.0
65,1.0,1.0
66,1.0,1.0
67,1.0,1.0
68,1.0,1.0
69,1.0,1.0
70,1.0,1.0
71,1.0,1.0
72,1.0,1.0
73,1.0,1.0
74,1.0,1.0
75,1.0,1.0
76,1.0,1.0
77,1.0,1.0
78,1.0,1.0
79,1.0,1.0
80,1.0,2.0
81,1.0,2.0
82,1.0,2.0
83,1.0,2.0
84,1.0,2.0
85,1.0,2.0
86,1.0,2.0
87,1.0,2.0
88,1.0,2.0
89,1.0,2.0
90,1.0,2.0
91,1.0,2.0
92,1.0,2.0
93,1.0,2.0
94,1.0,2.0
95,1.0,2.0
96,1.0,2.0
97,1.0,2.0
98,1.0,2.0
99,1.0,2.0
100,1.0,2.0
101,1.0,2.0
102,1.0,2.0
103,1.0,2.0
104,1.0,2.0
105,1.0,2.0
106,1.0,2.0
107,1.0,2.0
108,1.0,2.0
109,1.0,2.0
110,1.0,2.0
111,1.0,2.0
112,1.0,2.0
113,1.0,2.0
114,1.0,2.0
115,1.0,2.0
116,1.0,2.0
117,2.0,2.0
118,2.0,2.0
119,2.0,2.0
120,2.0,2.0
121,2.0,2.0
122,2.0,2.0
123,2.0,2.0
124,2.0,2.0
125,2.0,2.0
126,2.0,2.0
127,2.0,2.0
128,2.0,2.0
129,2.0,2.0
130,2.0,2.0
131,2.0,2.0
132,2.0,2.0
133,2.0,2.0
134,2.0,2.0
135,2.0,2.0
136,2.0,2.0
137,2.0,2.0
138,2.0,2.0
139,2.0,2.0
140,2.0,2.0
141,2.0,2.0
142,2.0,2.0
143,2.0,2.0
144,2.0,2.0
145,2.0,2.0
146,2.0,2.0
147,2.0,2.0
148,2.0,2.0
149,2.0,2.0
150,2.0,2.0
151,2.0,2.0
152,2.0,2.0
153,2.0,2.0
154,2.0,2.0
155,2.0,2.0
156,2.0,2.0
157,2.0,2.0
158,2.0,2.0
159,2.0,2.0
160,2.0,2.0
161,2.0,2.0
162,2.0,2.0
163,2.0,2.0
164,2.0,2.0
165,2.0,2.0
166,2.0,2.0
167,2.0,2.0
168,2.0,2.0
169,2.0,2.0
170,2.0,2.0
171,2.0,2.0
172,2.0,2.0
173,2.0,2.0
174,2.0,2.0
175,2.0,2.0
176,2.0,2.0
177,2.0,2.0
178,2.0,2.0
179,2.0,2.0
180,2.0,2.0
181,2.0,2.0
182,2.0,2.0
183,2.0,2.0
184,2.0,2.0
185,2.0,2.0
186,2.0,2.0
187,2.0,2.0
188,2.0,2.0
189,2.0,2.0
190,2.0,2.0
191,2.0,2.0
192,2.0,2.0
193,2.0,2.0
194,2.0,2.0
195,2.0,2.0
196,2.0,2.0
197,2.0,2.0
198,2.0,2.0
199,2.0,2.0
200,2.0,2.0
201,2.0,2.0
202,2.0,2.0
203,2.0,2.0
204,2.0,2.0
205,2.0,2.0
206,2.0,2.0
207,2.0,2.0
208,2.0,2.0
209,2.0,2.0
210,2.0,2.0
211,2.0,2.0
212,2.0,2.0
213,2.0,2.0
214,2.0,2.0
215,2.0,2.0
216,2.0,2.0
217,2.0,2.0
218,2.0,2.0
219,2.0,2.0
220,2.0,2.0
221,2.0,2.0
222,2.0,2.0
223,2.0,2.0
224,2.0,2.0
225,2.0,2.0
226,2.0,2.0
227,2.0,2.0
228,2.0,2.0
229,2.0,2.0
230,2.0,2.0
231,2.0,2.0
232,2.0,2.0
233,2.0,2.0
234,2.0,2.0
235,2.0,2.0
236,2.0,2.0
237,2.0,2.0
238,3.0,2.0
239,3.0,2.0
240,3.0,2.0
241,3.0,2.0
242,3.0,2.0
243,3.0,2.0
244,3.0,2.0
245,3.0,2.0
246,3.0,2.0
247,3.0,2.0
248,3.0,2.0
249,3.0,2.0
250,3.0,2.0
251,3.0,2.0
252,3.0,2.0
253,3.0,2.0
254,3.0,2.0
255,3.0,2.0
256,3.0,2.0
257,3.0,2.0
258,3.0,2.0
259,3.0,2.0
260,3.0,2.0
261,3.0,2.0
262,3.0,2.0
263,3.0,2.0
264,3.0,2.0
265,3.0,2.0
