,TI,Group 16
0,0.0,0.0
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,1.0
10,0.0,1.0
11,0.0,1.0
12,0.0,1.0
13,1.0,1.0
14,1.0,1.0
15,1.0,1.0
16,1.0,1.0
17,1.0,1.0
18,1.0,1.0
19,1.0,1.0
20,1.0,1.0
21,1.0,1.0
22,1.0,1.0
23,1.0,1.0
24,1.0,1.0
25,1.0,1.0
26,1.0,1.0
27,1.0,1.0
28,1.0,1.0
29,1.0,1.0
30,1.0,1.0
31,1.0,1.0
32,1.0,1.0
33,1.0,1.0
34,1.0,1.0
35,1.0,1.0
36,1.0,1.0
37,1.0,1.0
38,1.0,1.0
39,1.0,1.0
40,1.0,1.0
41,1.0,1.0
42,1.0,1.0
43,1.0,1.0
44,1.0,1.0
45,1.0,1.0
46,1.0,1.0
47,1.0,1.0
48,1.0,1.0
49,1.0,1.0
50,1.0,1.0
51,1.0,1.0
52,1.0,1.0
53,1.0,1.0
54,1.0,1.0
55,1.0,1.0
56,1.0,1.0
57,1.0,1.0
58,1.0,1.0
59,1.0,1.0
60,1.0,1.0
61,1.0,1.0
62,1.0,1.0
63,1.0,1.0
64,1.0,1.0
65,1.0,1.0
66,1.0,1.0
67,1.0,1.0
68,1.0,1.0
69,1.0,1.0
70,1.0,1.0
71,1.0,1.0
72,1.0,1.0
73,1.0,1.0
74,1.0,1.0
75,1.0,1.0
76,1.0,1.0
77,1.0,1.0
78,1.0,1.0
79,1.0,1.0
80,1.0,1.0
81,1.0,1.0
82,1.0,1.0
83,1.0,1.0
84,1.0,1.0
85,1.0,1.0
86,1.0,1.0
87,1.0,1.0
88,1.0,1.0
89,1.0,1.0
90,1.0,1.0
91,1.0,1.0
92,1.0,1.0
93,1.0,1.0
94,1.0,1.0
95,1.0,1.0
96,1.0,1.0
97,1.0,1.0
98,1.0,1.0
99,1.0,1.0
100,1.0,1.0
101,1.0,1.0
102,1.0,1.0
103,1.0,1.0
104,1.0,1.0
105,1.0,1.0
106,1.0,1.0
107,1.0,1.0
108,1.0,1.0
109,1.0,1.0
110,1.0,1.0
111,1.0,1.0
112,1.0,1.0
113,1.0,1.0
114,1.0,1.0
115,1.0,1.0
116,1.0,1.0
117,1.0,1.0
118,1.0,1.0
119,1.0,1.0
120,1.0,1.0
121,1.0,1.0
122,1.0,1.0
123,1.0,1.0
124,1.0,1.0
125,1.0,1.0
126,1.0,1.0
127,1.0,1.0
128,1.0,1.0
129,1.0,1.0
130,1.0,1.0
131,1.0,1.0
132,1.0,1.0
133,1.0,1.0
134,1.0,1.0
135,1.0,1.0
136,1.0,1.0
137,1.0,1.0
138,1.0,1.0
139,1.0,1.0
140,1.0,1.0
141,1.0,1.0
142,1.0,1.0
143,1.0,1.0
144,1.0,1.0
145,1.0,1.0
146,1.0,1.0
147,1.0,1.0
148,1.0,1.0
149,1.0,1.0
150,1.0,1.0
151,1.0,1.0
152,1.0,1.0
153,1.0,1.0
154,1.0,1.0
155,1.0,1.0
156,1.0,1.0
157,1.0,1.0
158,1.0,1.0
159,1.0,1.0
160,1.0,1.0
161,1.0,1.0
162,1.0,1.0
163,1.0,1.0
164,1.0,1.0
165,1.0,1.0
166,1.0,1.0
167,1.0,1.0
168,1.0,1.0
169,1.0,1.0
170,1.0,1.0
171,1.0,1.0
172,1.0,1.0
173,1.0,1.0
174,1.0,1.0
175,1.0,1.0
176,1.0,1.0
177,1.0,1.0
178,1.0,1.0
179,1.0,1.0
180,1.0,1.0
181,1.0,1.0
182,1.0,1.0
183,1.0,1.0
184,1.0,1.0
185,1.0,1.0
186,1.0,1.0
187,1.0,1.0
188,1.0,1.0
189,1.0,1.0
190,1.0,1.0
191,1.0,1.0
192,1.0,1.0
193,1.0,1.0
194,1.0,1.0
195,1.0,1.0
196,1.0,1.0
197,1.0,1.0
198,1.0,1.0
199,1.0,1.0
200,1.0,1.0
201,1.0,1.0
202,1.0,1.0
203,1.0,1.0
204,1.0,1.0
205,1.0,1.0
206,1.0,1.0
207,1.0,1.0
208,1.0,1.0
209,1.0,1.0
210,1.0,1.0
211,1.0,1.0
212,1.0,1.0
213,1.0,1.0
214,1.0,2.0
215,1.0,2.0
216,2.0,2.0
217,2.0,2.0
218,2.0,2.0
219,2.0,2.0
220,3.0,2.0
221,3.0,2.0
222,3.0,2.0
223,3.0,2.0
224,3.0,2.0
225,3.0,2.0
226,3.0,2.0
227,3.0,2.0
228,3.0,2.0
229,3.0,2.0
230,3.0,2.0
231,3.0,2.0
232,3.0,2.0
233,3.0,2.0
234,3.0,2.0
235,3.0,2.0
236,3.0,2.0
237,3.0,2.0
238,3.0,2.0
239,3.0,2.0
240,3.0,2.0
241,3.0,2.0
242,3.0,2.0
243,3.0,2.0
244,3.0,2.0
245,3.0,2.0
246,3.0,2.0
247,3.0,2.0
248,3.0,2.0
249,3.0,2.0
250,3.0,2.0
251,3.0,2.0
252,3.0,2.0
253,3.0,2.0
254,3.0,2.0
255,3.0,2.0
256,3.0,2.0
257,3.0,2.0
258,3.0,2.0
259,3.0,2.0
260,3.0,2.0
261,3.0,2.0
262,3.0,2.0
263,3.0,2.0
264,3.0,2.0
265,3.0,2.0
266,3.0,2.0
267,3.0,2.0
268,3.0,2.0
269,3.0,2.0
270,3.0,2.0
271,3.0,2.0
272,3.0,2.0
273,3.0,2.0
274,3.0,2.0
275,3.0,2.0
276,3.0,2.0
277,3.0,2.0
278,3.0,2.0
279,3.0,2.0
280,3.0,2.0
281,3.0,2.0
282,3.0,2.0
283,3.0,2.0
284,3.0,2.0
285,3.0,2.0
286,3.0,2.0
287,3.0,2.0
288,3.0,2.0
289,2.0,2.0
290,2.0,2.0
291,2.0,2.0
292,2.0,2.0
293,2.0,2.0
294,2.0,2.0
295,2.0,2.0
296,2.0,2.0
297,2.0,2.0
298,2.0,2.0
299,2.0,2.0
300,2.0,2.0
301,2.0,2.0
302,2.0,2.0
303,2.0,2.0
304,2.0,2.0
305,2.0,2.0
306,2.0,2.0
307,2.0,2.0
308,2.0,2.0
309,2.0,2.0
310,2.0,2.0
311,2.0,2.0
312,2.0,2.0
313,2.0,2.0
314,2.0,2.0
315,2.0,2.0
316,2.0,2.0
317,2.0,2.0
318,2.0,2.0
319,2.0,2.0
320,2.0,2.0
321,2.0,2.0
322,2.0,2.0
323,2.0,2.0
324,2.0,2.0
325,2.0,2.0
326,2.0,2.0
327,2.0,2.0
328,2.0,2.0
329,2.0,2.0
330,2.0,2.0
331,2.0,2.0
332,2.0,2.0
333,2.0,2.0
334,2.0,2.0
335,2.0,3.0
336,2.0,3.0
337,2.0,3.0
338,2.0,3.0
339,2.0,3.0
340,2.0,3.0
341,2.0,3.0
342,2.0,3.0
343,2.0,3.0
344,2.0,3.0
345,2.0,3.0
346,2.0,3.0
347,2.0,3.0
348,2.0,3.0
349,2.0,3.0
350,2.0,3.0
351,2.0,3.0
352,2.0,3.0
353,2.0,3.0
354,2.0,3.0
355,2.0,3.0
356,2.0,3.0
357,2.0,3.0
358,2.0,3.0
359,2.0,3.0
360,2.0,3.0
361,2.0,3.0
362,2.0,3.0
363,2.0,3.0
364,2.0,3.0
365,2.0,3.0
366,2.0,3.0
367,2.0,3.0
368,2.0,3.0
369,2.0,3.0
370,2.0,3.0
371,2.0,3.0
372,2.0,3.0
373,2.0,3.0
374,2.0,3.0
375,2.0,3.0
376,2.0,3.0
377,2.0,3.0
378,2.0,3.0
379,2.0,3.0
380,2.0,3.0
381,2.0,3.0
382,2.0,3.0
383,2.0,3.0
384,2.0,3.0
385,2.0,3.0
386,3.0,3.0
387,3.0,3.0
388,3.0,3.0
389,3.0,3.0
390,3.0,3.0
391,3.0,3.0
392,3.0,3.0
393,3.0,3.0
394,3.0,3.0
395,3.0,3.0
396,3.0,3.0
397,3.0,3.0
398,3.0,3.0
399,3.0,3.0
400,3.0,3.0
401,3.0,3.0
402,3.0,3.0
403,3.0,3.0
404,3.0,3.0
405,3.0,3.0
406,3.0,3.0
407,3.0,3.0
408,3.0,3.0
409,3.0,3.0
410,3.0,3.0
411,3.0,3.0
412,3.0,3.0
413,3.0,3.0
414,3.0,3.0
415,3.0,3.0
416,3.0,3.0
417,3.0,3.0
418,3.0,3.0
419,3.0,3.0
420,3.0,3.0
421,3.0,3.0
422,3.0,3.0
423,3.0,3.0
424,3.0,3.0
425,3.0,3.0
426,3.0,3.0
