,TI,Group 16
0,1.0,0.0
1,1.0,0.0
2,1.0,0.0
3,1.0,0.0
4,1.0,0.0
5,1.0,0.0
6,1.0,0.0
7,1.0,0.0
8,1.0,0.0
9,1.0,0.0
10,1.0,0.0
11,1.0,0.0
12,1.0,0.0
13,1.0,0.0
14,1.0,0.0
15,1.0,0.0
16,1.0,0.0
17,1.0,0.0
18,1.0,0.0
19,1.0,0.0
20,1.0,0.0
21,1.0,1.0
22,1.0,1.0
23,1.0,1.0
24,1.0,1.0
25,1.0,1.0
26,1.0,1.0
27,1.0,1.0
28,1.0,1.0
29,1.0,1.0
30,1.0,1.0
31,1.0,1.0
32,1.0,1.0
33,1.0,1.0
34,1.0,1.0
35,1.0,1.0
36,1.0,1.0
37,1.0,1.0
38,1.0,1.0
39,1.0,1.0
40,1.0,1.0
41,1.0,1.0
42,1.0,1.0
43,1.0,1.0
44,1.0,1.0
45,1.0,1.0
46,1.0,1.0
47,1.0,1.0
48,1.0,1.0
49,1.0,1.0
50,1.0,1.0
51,1.0,1.0
52,1.0,1.0
53,1.0,1.0
54,1.0,1.0
55,1.0,1.0
56,1.0,1.0
57,1.0,1.0
58,1.0,1.0
59,1.0,1.0
60,1.0,1.0
61,1.0,2.0
62,1.0,2.0
63,1.0,2.0
64,1.0,2.0
65,1.0,2.0
66,1.0,2.0
67,1.0,2.0
68,1.0,2.0
69,1.0,2.0
70,1.0,2.0
71,1.0,2.0
72,1.0,2.0
73,1.0,2.0
74,1.0,2.0
75,1.0,2.0
76,1.0,2.0
77,1.0,2.0
78,1.0,2.0
79,1.0,2.0
80,1.0,2.0
81,1.0,2.0
82,1.0,2.0
83,1.0,2.0
84,1.0,2.0
85,1.0,2.0
86,1.0,2.0
87,1.0,2.0
88,1.0,2.0
89,1.0,2.0
90,1.0,2.0
91,1.0,2.0
92,1.0,2.0
93,1.0,2.0
94,1.0,2.0
95,1.0,2.0
96,1.0,2.0
97,1.0,2.0
98,1.0,2.0
99,1.0,2.0
100,1.0,2.0
101,1.0,2.0
102,1.0,2.0
103,1.0,2.0
104,1.0,2.0
105,1.0,2.0
106,1.0,2.0
107,1.0,2.0
108,1.0,2.0
109,1.0,2.0
110,1.0,2.0
111,1.0,2.0
112,1.0,2.0
113,1.0,2.0
114,1.0,2.0
115,1.0,2.0
116,1.0,2.0
117,1.0,2.0
118,1.0,2.0
119,1.0,2.0
120,1.0,2.0
121,1.0,2.0
122,1.0,2.0
123,1.0,2.0
124,1.0,2.0
125,1.0,2.0
126,1.0,2.0
127,1.0,2.0
128,1.0,2.0
129,1.0,2.0
130,1.0,2.0
131,1.0,2.0
132,1.0,2.0
133,1.0,2.0
134,1.0,2.0
135,1.0,2.0
136,1.0,2.0
137,1.0,2.0
138,1.0,2.0
139,1.0,2.0
140,1.0,2.0
141,1.0,2.0
142,1.0,2.0
143,1.0,2.0
144,1.0,2.0
145,1.0,2.0
146,1.0,2.0
147,1.0,2.0
148,1.0,2.0
149,1.0,2.0
150,1.0,2.0
151,1.0,2.0
152,1.0,2.0
153,1.0,2.0
154,1.0,2.0
155,1.0,2.0
156,1.0,2.0
157,1.0,2.0
158,2.0,2.0
159,2.0,2.0
160,2.0,2.0
161,2.0,2.0
162,2.0,2.0
163,2.0,2.0
164,2.0,2.0
165,2.0,2.0
166,2.0,2.0
167,2.0,2.0
168,2.0,2.0
169,2.0,2.0
170,2.0,2.0
171,2.0,2.0
172,2.0,2.0
173,2.0,2.0
174,2.0,2.0
175,2.0,2.0
176,2.0,2.0
177,2.0,2.0
178,2.0,2.0
179,2.0,2.0
180,3.0,2.0
181,3.0,2.0
182,3.0,2.0
183,3.0,2.0
184,3.0,2.0
185,3.0,2.0
186,3.0,2.0
187,3.0,2.0
188,3.0,2.0
189,3.0,2.0
190,3.0,2.0
191,3.0,2.0
192,3.0,2.0
193,3.0,2.0
194,3.0,2.0
195,3.0,2.0
196,3.0,2.0
197,3.0,2.0
198,3.0,2.0
199,3.0,2.0
200,3.0,2.0
201,3.0,2.0
202,3.0,2.0
203,3.0,2.0
204,3.0,2.0
205,3.0,2.0
206,3.0,2.0
207,3.0,2.0
208,3.0,2.0
209,3.0,2.0
210,3.0,2.0
211,3.0,2.0
212,3.0,2.0
213,3.0,2.0
214,3.0,2.0
215,3.0,2.0
216,3.0,2.0
217,3.0,2.0
218,3.0,2.0
219,3.0,2.0
220,3.0,2.0
221,3.0,2.0
222,3.0,2.0
223,3.0,2.0
224,3.0,2.0
225,4.0,2.0
226,4.0,2.0
227,4.0,2.0
228,4.0,2.0
229,4.0,2.0
230,4.0,2.0
231,4.0,2.0
232,4.0,2.0
233,4.0,2.0
234,4.0,2.0
235,4.0,2.0
236,4.0,2.0
237,4.0,2.0
238,4.0,2.0
239,4.0,2.0
240,4.0,2.0
241,4.0,2.0
242,4.0,2.0
243,4.0,2.0
244,4.0,2.0
245,4.0,2.0
246,4.0,2.0
247,4.0,2.0
248,4.0,2.0
249,4.0,2.0
250,4.0,2.0
251,4.0,2.0
252,4.0,2.0
253,4.0,2.0
254,4.0,2.0
255,4.0,2.0
256,4.0,2.0
257,4.0,2.0
258,4.0,2.0
259,4.0,2.0
260,4.0,2.0
261,4.0,2.0
262,4.0,2.0
263,4.0,2.0
264,4.0,2.0
265,4.0,2.0
266,4.0,2.0
267,4.0,2.0
268,4.0,2.0
269,4.0,2.0
270,4.0,2.0
271,4.0,2.0
272,4.0,2.0
273,4.0,2.0
274,4.0,2.0
275,4.0,2.0
276,4.0,2.0
277,4.0,2.0
278,4.0,2.0
279,4.0,2.0
280,4.0,2.0
281,4.0,2.0
282,4.0,2.0
283,4.0,2.0
284,4.0,2.0
285,4.0,2.0
286,4.0,2.0
287,4.0,2.0
288,4.0,2.0
289,4.0,2.0
290,4.0,2.0
291,4.0,2.0
292,4.0,2.0
293,4.0,2.0
294,4.0,2.0
295,4.0,2.0
296,4.0,2.0
297,4.0,2.0
298,4.0,2.0
299,4.0,2.0
300,4.0,2.0
301,4.0,2.0
302,4.0,2.0
303,4.0,2.0
304,4.0,2.0
305,4.0,2.0
306,4.0,2.0
307,4.0,2.0
308,3.0,2.0
309,3.0,2.0
310,3.0,2.0
311,3.0,2.0
312,3.0,2.0
313,3.0,2.0
314,3.0,2.0
315,3.0,2.0
316,3.0,2.0
317,3.0,2.0
318,3.0,2.0
319,3.0,2.0
320,3.0,2.0
321,3.0,2.0
322,3.0,2.0
323,3.0,2.0
324,3.0,2.0
325,3.0,2.0
326,3.0,2.0
327,3.0,2.0
328,3.0,2.0
329,3.0,2.0
330,3.0,2.0
331,3.0,2.0
332,3.0,2.0
333,3.0,2.0
334,3.0,2.0
335,3.0,2.0
336,3.0,2.0
337,3.0,2.0
338,3.0,2.0
339,3.0,2.0
340,3.0,2.0
341,3.0,2.0
342,3.0,2.0
343,3.0,2.0
344,3.0,2.0
345,3.0,2.0
346,3.0,2.0
347,3.0,2.0
348,3.0,2.0
349,3.0,2.0
350,3.0,2.0
351,3.0,2.0
352,3.0,2.0
353,3.0,2.0
354,3.0,2.0
355,3.0,2.0
356,3.0,2.0
357,3.0,2.0
358,3.0,2.0
359,3.0,2.0
360,3.0,2.0
361,3.0,2.0
362,3.0,2.0
363,3.0,2.0
364,3.0,2.0
365,3.0,2.0
366,3.0,2.0
367,3.0,2.0
368,3.0,2.0
369,2.0,2.0
370,2.0,2.0
371,2.0,2.0
372,2.0,2.0
373,2.0,2.0
374,2.0,2.0
375,2.0,2.0
376,2.0,2.0
377,2.0,2.0
378,2.0,2.0
379,2.0,2.0
380,2.0,2.0
381,2.0,2.0
382,2.0,2.0
383,2.0,2.0
384,2.0,2.0
385,2.0,2.0
386,2.0,2.0
387,2.0,2.0
388,2.0,2.0
389,2.0,2.0
390,2.0,2.0
391,2.0,2.0
392,2.0,2.0
393,2.0,2.0
394,1.0,2.0
395,1.0,2.0
396,1.0,2.0
397,1.0,2.0
398,1.0,2.0
399,1.0,2.0
400,1.0,2.0
401,1.0,2.0
402,1.0,2.0
403,1.0,2.0
404,1.0,2.0
405,1.0,2.0
406,1.0,2.0
407,1.0,2.0
408,1.0,2.0
409,1.0,2.0
410,1.0,2.0
411,1.0,2.0
412,1.0,2.0
413,1.0,2.0
414,1.0,2.0
415,1.0,2.0
416,1.0,2.0
417,1.0,2.0
418,1.0,2.0
419,1.0,2.0
420,1.0,2.0
421,1.0,2.0
422,1.0,2.0
423,1.0,2.0
424,1.0,2.0
425,1.0,2.0
426,1.0,2.0
427,1.0,2.0
428,1.0,2.0
429,1.0,2.0
430,1.0,2.0
431,1.0,2.0
432,1.0,2.0
433,1.0,2.0
434,1.0,2.0
435,1.0,2.0
436,1.0,2.0
437,1.0,2.0
438,1.0,2.0
439,1.0,2.0
440,1.0,2.0
441,1.0,2.0
442,1.0,2.0
443,1.0,2.0
444,1.0,2.0
445,1.0,2.0
446,1.0,2.0
447,1.0,2.0
448,1.0,2.0
449,1.0,2.0
450,1.0,2.0
451,1.0,2.0
452,1.0,2.0
453,1.0,2.0
454,1.0,2.0
455,1.0,2.0
456,1.0,2.0
457,1.0,2.0
458,1.0,2.0
459,1.0,2.0
460,1.0,2.0
461,1.0,2.0
462,1.0,2.0
463,1.0,2.0
464,1.0,2.0
465,1.0,2.0
466,1.0,2.0
467,1.0,2.0
468,1.0,2.0
469,1.0,2.0
470,1.0,2.0
471,1.0,2.0
472,1.0,2.0
473,1.0,2.0
474,1.0,2.0
475,1.0,2.0
476,1.0,2.0
477,1.0,2.0
478,1.0,2.0
479,1.0,2.0
480,1.0,2.0
481,1.0,2.0
482,1.0,2.0
483,1.0,2.0
484,1.0,2.0
485,1.0,2.0
486,1.0,2.0
487,1.0,2.0
488,1.0,2.0
489,1.0,2.0
490,1.0,2.0
491,1.0,2.0
492,1.0,2.0
493,1.0,2.0
494,1.0,2.0
495,1.0,2.0
496,1.0,2.0
497,1.0,2.0
498,1.0,2.0
499,1.0,2.0
500,1.0,2.0
501,1.0,2.0
502,1.0,2.0
503,1.0,2.0
504,1.0,2.0
505,1.0,2.0
506,1.0,2.0
507,1.0,2.0
508,1.0,2.0
509,1.0,2.0
510,1.0,2.0
511,1.0,2.0
512,1.0,2.0
513,1.0,2.0
514,1.0,2.0
515,1.0,2.0
516,1.0,2.0
517,1.0,2.0
518,1.0,2.0
519,1.0,2.0
520,1.0,2.0
521,1.0,2.0
522,1.0,2.0
523,1.0,2.0
524,1.0,2.0
525,1.0,2.0
526,1.0,2.0
527,1.0,2.0
528,1.0,2.0
529,1.0,2.0
530,1.0,2.0
531,1.0,2.0
532,1.0,2.0
533,1.0,2.0
534,1.0,2.0
535,1.0,2.0
536,1.0,2.0
537,1.0,2.0
538,1.0,2.0
539,1.0,2.0
540,1.0,2.0
541,1.0,2.0
542,1.0,2.0
543,2.0,2.0
544,2.0,2.0
545,2.0,2.0
546,2.0,2.0
547,2.0,2.0
548,2.0,2.0
549,2.0,2.0
550,2.0,2.0
551,2.0,2.0
552,2.0,2.0
553,2.0,2.0
554,2.0,2.0
555,2.0,2.0
556,2.0,2.0
557,2.0,2.0
558,2.0,2.0
559,2.0,2.0
560,2.0,2.0
561,2.0,2.0
562,2.0,2.0
563,2.0,2.0
564,2.0,2.0
565,2.0,2.0
566,2.0,2.0
567,2.0,2.0
568,2.0,2.0
569,2.0,2.0
570,2.0,2.0
571,2.0,2.0
572,2.0,2.0
573,2.0,2.0
574,2.0,2.0
575,2.0,2.0
576,2.0,2.0
577,2.0,2.0
578,2.0,2.0
579,2.0,2.0
580,2.0,2.0
581,2.0,2.0
582,2.0,2.0
583,2.0,2.0
584,2.0,2.0
585,2.0,2.0
586,2.0,2.0
587,2.0,2.0
588,2.0,2.0
589,2.0,2.0
590,2.0,2.0
591,2.0,2.0
592,2.0,2.0
593,2.0,2.0
594,2.0,2.0
595,2.0,2.0
596,2.0,2.0
597,2.0,2.0
598,2.0,2.0
599,2.0,2.0
600,2.0,2.0
601,2.0,2.0
602,2.0,2.0
603,2.0,2.0
604,2.0,2.0
605,2.0,2.0
606,2.0,2.0
607,2.0,2.0
608,2.0,2.0
609,2.0,2.0
610,2.0,2.0
611,2.0,2.0
612,2.0,2.0
613,2.0,2.0
