,TI,Group 16
0,0.0,0.0
1,1.0,0.0
2,1.0,0.0
3,1.0,0.0
4,1.0,0.0
5,1.0,0.0
6,1.0,0.0
7,1.0,0.0
8,1.0,0.0
9,1.0,0.0
10,1.0,0.0
11,1.0,0.0
12,1.0,0.0
13,1.0,0.0
14,1.0,0.0
15,1.0,0.0
16,1.0,0.0
17,1.0,0.0
18,1.0,0.0
19,1.0,0.0
20,1.0,0.0
21,1.0,0.0
22,1.0,0.0
23,1.0,0.0
24,1.0,0.0
25,1.0,0.0
26,1.0,0.0
27,1.0,0.0
28,1.0,0.0
29,1.0,0.0
30,1.0,0.0
31,1.0,0.0
32,1.0,0.0
33,1.0,0.0
34,1.0,0.0
35,1.0,0.0
36,1.0,0.0
37,1.0,0.0
38,1.0,0.0
39,1.0,0.0
40,1.0,0.0
41,1.0,0.0
42,1.0,1.0
43,1.0,1.0
44,1.0,1.0
45,1.0,1.0
46,1.0,1.0
47,1.0,1.0
48,1.0,1.0
49,1.0,1.0
50,1.0,1.0
51,1.0,1.0
52,1.0,1.0
53,1.0,1.0
54,1.0,1.0
55,1.0,2.0
56,1.0,2.0
57,1.0,2.0
58,1.0,2.0
59,1.0,2.0
60,1.0,2.0
61,1.0,2.0
62,1.0,3.0
63,1.0,3.0
64,1.0,3.0
65,1.0,3.0
66,1.0,3.0
67,1.0,3.0
68,1.0,3.0
69,1.0,3.0
70,1.0,3.0
71,1.0,3.0
72,1.0,3.0
73,1.0,3.0
74,1.0,4.0
75,1.0,4.0
76,1.0,4.0
77,1.0,4.0
78,2.0,4.0
79,2.0,4.0
80,2.0,4.0
81,2.0,4.0
82,2.0,4.0
83,2.0,4.0
84,3.0,4.0
85,3.0,4.0
86,3.0,4.0
87,3.0,4.0
88,3.0,4.0
89,3.0,4.0
90,3.0,4.0
91,3.0,4.0
92,3.0,4.0
93,3.0,4.0
94,3.0,4.0
95,3.0,4.0
96,3.0,4.0
97,3.0,4.0
98,3.0,4.0
99,3.0,4.0
100,3.0,4.0
101,3.0,4.0
102,3.0,4.0
103,3.0,4.0
104,3.0,4.0
105,3.0,4.0
106,4.0,4.0
107,4.0,4.0
108,4.0,4.0
109,4.0,4.0
110,4.0,4.0
111,4.0,4.0
112,4.0,4.0
113,4.0,4.0
114,4.0,4.0
115,4.0,4.0
116,4.0,4.0
117,4.0,4.0
118,4.0,4.0
119,4.0,4.0
120,4.0,4.0
121,4.0,4.0
122,4.0,4.0
123,4.0,4.0
124,4.0,4.0
125,4.0,4.0
126,4.0,4.0
127,4.0,4.0
128,4.0,4.0
129,4.0,4.0
130,4.0,4.0
131,4.0,4.0
132,4.0,4.0
133,4.0,4.0
134,4.0,4.0
135,4.0,4.0
136,4.0,4.0
137,4.0,4.0
138,4.0,4.0
139,4.0,4.0
140,4.0,4.0
141,4.0,4.0
142,4.0,4.0
143,4.0,4.0
144,4.0,4.0
145,4.0,4.0
146,4.0,4.0
147,4.0,4.0
148,4.0,4.0
149,4.0,4.0
150,4.0,4.0
151,4.0,4.0
152,4.0,4.0
153,4.0,4.0
154,4.0,4.0
155,4.0,4.0
156,4.0,4.0
157,4.0,4.0
158,4.0,4.0
159,4.0,4.0
160,4.0,4.0
161,4.0,4.0
162,4.0,4.0
163,4.0,4.0
164,4.0,4.0
165,4.0,4.0
166,4.0,4.0
167,4.0,4.0
168,4.0,4.0
169,4.0,4.0
170,4.0,4.0
171,4.0,4.0
172,4.0,4.0
173,4.0,4.0
174,4.0,4.0
175,4.0,4.0
176,4.0,4.0
177,4.0,4.0
178,4.0,4.0
179,4.0,4.0
180,4.0,4.0
181,4.0,4.0
182,4.0,4.0
183,4.0,4.0
184,4.0,4.0
185,4.0,4.0
186,4.0,4.0
187,4.0,4.0
188,4.0,4.0
189,4.0,4.0
190,4.0,4.0
191,4.0,4.0
192,4.0,4.0
193,4.0,4.0
194,4.0,4.0
195,4.0,4.0
196,4.0,4.0
197,4.0,4.0
198,4.0,4.0
199,4.0,4.0
200,4.0,4.0
201,4.0,4.0
202,4.0,4.0
203,4.0,4.0
204,4.0,4.0
205,4.0,4.0
206,4.0,4.0
207,4.0,4.0
208,4.0,4.0
209,4.0,4.0
210,4.0,4.0
211,4.0,4.0
212,4.0,4.0
213,4.0,4.0
214,4.0,4.0
215,4.0,4.0
216,4.0,4.0
217,4.0,4.0
218,4.0,4.0
219,4.0,4.0
220,4.0,4.0
221,4.0,4.0
222,4.0,4.0
223,4.0,4.0
224,4.0,4.0
225,4.0,4.0
226,4.0,4.0
227,4.0,4.0
228,4.0,4.0
229,4.0,4.0
230,4.0,4.0
231,4.0,4.0
232,4.0,4.0
233,4.0,4.0
234,4.0,4.0
235,4.0,4.0
236,4.0,4.0
237,4.0,4.0
238,4.0,4.0
239,4.0,4.0
240,4.0,4.0
241,4.0,4.0
242,4.0,4.0
243,4.0,4.0
244,4.0,4.0
245,4.0,4.0
246,4.0,4.0
247,4.0,4.0
248,4.0,4.0
249,4.0,4.0
250,4.0,4.0
251,4.0,4.0
252,4.0,4.0
253,4.0,4.0
254,4.0,4.0
255,4.0,4.0
256,4.0,4.0
257,4.0,4.0
258,4.0,4.0
259,4.0,4.0
260,4.0,4.0
261,4.0,4.0
262,4.0,4.0
263,4.0,4.0
264,4.0,4.0
265,4.0,4.0
266,4.0,4.0
267,4.0,4.0
268,4.0,4.0
269,4.0,4.0
270,4.0,4.0
271,4.0,4.0
272,4.0,4.0
273,4.0,4.0
274,4.0,4.0
275,4.0,4.0
276,4.0,4.0
277,4.0,4.0
278,4.0,4.0
