Expected Cluster,Expected Kalman
1.11E+02,1.11E+02
1.11E+02,1.11E+02
1.11E+02,1.11E+02
1.11E+02,1.11E+02
1.11E+02,1.11E+02
1.11E+02,1.11E+02
1.11E+02,1.11E+02
1.11E+02,1.11E+02
1.11E+02,1.11E+02
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.11E+02,1.11E+02
1.11E+02,1.11E+02
1.11E+02,1.11E+02
1.11E+02,1.11E+02
1.11E+02,1.11E+02
1.11E+02,1.11E+02
1.11E+02,1.11E+02
1.11E+02,1.11E+02
1.11E+02,1.11E+02
1.11E+02,1.11E+02
1.11E+02,1.11E+02
1.11E+02,1.11E+02
1.11E+02,1.11E+02
1.11E+02,1.11E+02
1.11E+02,1.11E+02
1.11E+02,1.11E+02
1.11E+02,1.11E+02
1.11E+02,1.11E+02
1.11E+02,1.11E+02
1.11E+02,1.11E+02
1.11E+02,1.11E+02
1.11E+02,1.11E+02
1.11E+02,1.11E+02
1.11E+02,1.11E+02
1.11E+02,1.11E+02
1.11E+02,1.11E+02
1.11E+02,1.11E+02
1.11E+02,1.11E+02
1.11E+02,1.11E+02
1.00E+00,1.00E+00
1.11E+02,1.11E+02
1.11E+02,1.11E+02
1.11E+02,1.11E+02
1.11E+02,1.11E+02
1.11E+02,1.11E+02
1.11E+02,1.11E+02
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.11E+02,1.11E+02
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.11E+02,1.11E+02
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.11E+02,1.11E+02
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
0.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
0.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
1.00E+00,1.00E+00
