Expected Kalman,Expected X,Expected Y
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
1,1.2,4.2
