Expected Cluster,Expected Kalman
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
1,1
111,111
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
1,1
2,2
1,1
2,2
2,2
2,2
2,2
2,2
3,3
2,2
2,2
3,3
3,3
3,3
2,2
3,3
3,3
3,3
3,3
3,3
4,4
3,3
3,3
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
3,4
3,4
3,4
3,4
3,4
2,4
2,4
2,4
2,4
2,4
3,4
3,4
2,4
3,4
3,4
3,4
3,4
2,4
2,4
2,4
2,4
2,4
2,4
3,4
3,4
3,4
3,4
2,4
3,4
3,4
3,4
3,4
3,4
3,4
2,4
3,4
2,4
2,4
1,4
2,4
1,4
2,4
2,4
1,4
1,4
1,4
1,4
2,4
2,4
1,4
3,4
3,4
2,4
1,4
111,111
2,4
3,4
2,4
1,4
2,4
1,4
2,4
2,4
2,4
0,4
1,4
1,4
1,4
2,4
2,4
2,4
111,111
1,4
2,4
1,4
1,4
2,4
111,111
2,4
2,4
1,4
111,111
111,111
1,4
2,4
1,4
1,4
2,4
2,4
1,4
2,4
1,4
1,4
2,4
1,4
1,4
1,4
1,4
1,4
1,4
111,111
111,111
111,111
111,111
111,111
0,4
1,4
1,4
111,111
111,111
111,111
1,4
1,4
1,4
1,4
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
1,4
1,4
2,4
1,4
2,4
2,4
2,4
2,4
2,4
2,4
2,4
2,4
1,4
2,4
111,111
1,4
1,4
1,4
1,4
1,4
1,4
1,4
2,4
111,111
3,4
1,4
2,4
1,4
1,4
1,4
1,4
1,4
1,4
2,4
1,4
1,4
1,4
3,4
2,4
2,4
2,4
2,4
2,4
1,4
2,4
2,4
1,4
1,4
1,4
2,4
2,4
1,4
1,4
2,4
3,4
2,4
2,4
1,4
1,4
2,4
2,4
2,4
2,4
1,4
1,4
3,4
2,4
2,4
3,4
4,4
3,4
3,4
3,4
2,4
2,4
2,4
2,4
3,4
2,4
2,4
2,4
1,4
3,4
3,4
3,4
2,4
2,4
2,4
3,4
3,4
3,4
3,4
2,4
2,4
2,4
2,4
2,4
2,4
2,4
1,4
2,4
3,4
2,4
2,4
2,4
4,4
4,4
2,4
1,4
1,4
1,4
1,4
2,4
2,4
2,4
2,4
1,4
3,4
1,4
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
1,4
1,4
1,4
1,4
1,4
1,4
1,4
111,111
111,111
111,111
111,111
1,4
111,111
1,4
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
1,4
1,4
111,111
1,4
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
1,4
1,4
1,4
2,4
1,4
111,111
111,111
111,111
111,111
1,4
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
1,4
1,4
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
1,4
1,4
1,4
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
1,4
111,111
1,4
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
1,4
111,111
1,4
1,4
1,4
1,4
1,4
2,4
1,4
1,4
1,4
2,4
111,111
1,4
1,4
1,4
1,4
111,111
1,4
1,4
1,4
1,4
1,4
111,111
111,111
1,4
1,4
1,4
1,4
2,4
2,4
2,4
2,4
4,4
3,4
1,4
1,4
1,4
2,4
2,4
3,4
1,4
2,4
1,4
2,4
1,4
2,4
2,4
2,4
2,4
3,4
2,4
2,4
2,4
2,4
2,4
1,4
1,4
3,4
3,4
2,4
2,4
3,4
3,4
4,4
3,4
2,4
4,4
4,4
4,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
3,3
3,3
3,3
2,3
2,3
2,3
3,3
3,3
3,3
3,3
3,3
3,3
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
1,2
2,2
2,2
2,2
2,2
2,2
2,2
1,2
1,2
1,2
2,2
2,2
2,2
2,2
2,2
1,2
1,2
1,2
1,2
1,1
1,1
1,1
1,1
0,1
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
0,1
1,1
1,1
111,111
111,111
111,111
111,111
111,111
111,111
1,1
111,111
111,111
111,111
111,111
1,1
111,111
1,1
111,111
1,1
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
111,111
