Expected Cluster,Expected Kalman
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
2,2
1,2
1,2
2,2
2,2
2,2
2,2
3,3
3,3
2,3
3,3
3,3
3,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
3,3
3,3
2,3
2,3
2,3
2,3
1,3
111,111
2,3
1,3
2,3
3,3
3,3
3,3
2,3
3,3
3,3
2,3
3,3
3,3
3,3
3,3
3,3
3,3
2,3
3,3
3,3
3,3
3,3
3,3
2,3
2,3
3,3
2,3
2,3
3,3
3,3
3,3
2,3
3,3
3,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
4,4
4,4
2,4
2,4
4,4
3,4
4,4
2,4
3,4
2,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
2,4
2,4
3,4
3,4
3,4
3,4
4,4
4,4
4,4
4,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
3,4
2,4
2,4
2,4
3,4
3,4
2,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
2,4
3,4
3,4
3,4
3,4
3,4
3,4
2,3
3,3
2,3
2,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
3,3
2,3
2,3
3,3
3,3
3,3
3,3
3,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
2,3
1,3
1,3
2,3
2,3
3,3
4,4
4,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
3,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
3,4
3,4
4,4
4,4
4,4
4,4
4,4
3,4
3,4
3,4
4,4
4,4
4,4
4,4
4,4
3,4
3,4
3,4
3,4
3,4
4,4
4,4
4,4
4,4
4,4
4,4
4,4
3,4
4,4
3,4
3,4
2,4
