Index,maxDistance,minClusterSize,Misclassifications,Accuracy %,Max Frames,1024
0,0.1,2,662,35.3515625,,
1,0.1,3,618,39.6484375,,
2,0.1,4,586,42.7734375,,
3,0.1,5,576,43.75,,
4,0.1,6,616,39.84375,,
5,0.1,7,644,37.109375,,
6,0.1,8,670,34.5703125,,
7,0.1,9,676,33.984375,,
8,0.1,10,696,32.03125,,
9,0.1,11,723,29.39453125,,
10,0.1,12,833,18.65234375,,
11,0.1,13,833,18.65234375,,
12,0.1,14,833,18.65234375,,
13,0.1,15,833,18.65234375,,
14,0.1,16,833,18.65234375,,
15,0.1,17,833,18.65234375,,
16,0.1,18,833,18.65234375,,
17,0.1,19,833,18.65234375,,
18,0.1,20,833,18.65234375,,
19,0.15,2,833,18.65234375,,
20,0.15,3,833,18.65234375,,
21,0.15,4,833,18.65234375,,
22,0.15,5,833,18.65234375,,
23,0.15,6,833,18.65234375,,
24,0.15,7,833,18.65234375,,
25,0.15,8,833,18.65234375,,
26,0.15,9,833,18.65234375,,
27,0.15,10,833,18.65234375,,
28,0.15,11,449,56.15234375,,
29,0.15,12,387,62.20703125,,
30,0.15,13,346,66.2109375,,
31,0.15,14,337,67.08984375,,
32,0.15,15,334,67.3828125,,
33,0.15,16,343,66.50390625,,
34,0.15,17,371,63.76953125,,
35,0.15,18,398,61.1328125,,
36,0.15,19,424,58.59375,,
37,0.15,20,434,57.6171875,,
38,0.2,2,444,56.640625,,
39,0.2,3,474,53.7109375,,
40,0.2,4,536,47.65625,,
41,0.2,5,571,44.23828125,,
42,0.2,6,634,38.0859375,,
43,0.2,7,704,31.25,,
44,0.2,8,788,23.046875,,
45,0.2,9,802,21.6796875,,
46,0.2,10,813,20.60546875,,
47,0.2,11,821,19.82421875,,
48,0.2,12,827,19.23828125,,
49,0.2,13,829,19.04296875,,
50,0.2,14,833,18.65234375,,
51,0.2,15,833,18.65234375,,
52,0.2,16,833,18.65234375,,
53,0.2,17,833,18.65234375,,
54,0.2,18,833,18.65234375,,
55,0.2,19,833,18.65234375,,
56,0.2,20,194,81.0546875,,
57,0.25,2,173,83.10546875,,
58,0.25,3,158,84.5703125,,
59,0.25,4,164,83.984375,,
60,0.25,5,175,82.91015625,,
61,0.25,6,182,82.2265625,,
62,0.25,7,195,80.95703125,,
63,0.25,8,214,79.1015625,,
64,0.25,9,222,78.3203125,,
65,0.25,10,230,77.5390625,,
66,0.25,11,250,75.5859375,,
67,0.25,12,269,73.73046875,,
68,0.25,13,303,70.41015625,,
69,0.25,14,332,67.578125,,
70,0.25,15,374,63.4765625,,
71,0.25,16,421,58.88671875,,
72,0.25,17,480,53.125,,
73,0.25,18,539,47.36328125,,
74,0.25,19,602,41.2109375,,
75,0.25,20,642,37.3046875,,
76,0.3,2,676,33.984375,,
77,0.3,3,714,30.2734375,,
78,0.3,4,752,26.5625,,
79,0.3,5,761,25.68359375,,
80,0.3,6,777,24.12109375,,
81,0.3,7,800,21.875,,
82,0.3,8,813,20.60546875,,
83,0.3,9,820,19.921875,,
84,0.3,10,166,83.7890625,,
85,0.3,11,156,84.765625,,
86,0.3,12,147,85.64453125,,
87,0.3,13,150,85.3515625,,
88,0.3,14,165,83.88671875,,
89,0.3,15,170,83.3984375,,
90,0.3,16,184,82.03125,,
91,0.3,17,200,80.46875,,
92,0.3,18,213,79.19921875,,
93,0.3,19,227,77.83203125,,
94,0.3,20,241,76.46484375,,
95,0.35,2,255,75.09765625,,
96,0.35,3,274,73.2421875,,
97,0.35,4,297,70.99609375,,
98,0.35,5,321,68.65234375,,
99,0.35,6,349,65.91796875,,
100,0.35,7,376,63.28125,,
101,0.35,8,400,60.9375,,
102,0.35,9,438,57.2265625,,
103,0.35,10,476,53.515625,,
104,0.35,11,501,51.07421875,,
105,0.35,12,525,48.73046875,,
106,0.35,13,569,44.43359375,,
107,0.35,14,605,40.91796875,,
108,0.35,15,637,37.79296875,,
109,0.35,16,662,35.3515625,,
110,0.35,17,700,31.640625,,
111,0.35,18,720,29.6875,,
