,Number Of People,Iteration,Runtime,With/Without
0,1,1,7,With Preliminary Noise Reduction
1,1,1,17,Without Preliminary Noise Reduction
2,1,2,3,With Preliminary Noise Reduction
3,1,2,15,Without Preliminary Noise Reduction
4,1,3,4,With Preliminary Noise Reduction
5,1,3,17,Without Preliminary Noise Reduction
6,1,4,5,With Preliminary Noise Reduction
7,1,4,16,Without Preliminary Noise Reduction
8,1,5,2,With Preliminary Noise Reduction
9,1,5,20,Without Preliminary Noise Reduction
10,1,6,6,With Preliminary Noise Reduction
11,1,6,15,Without Preliminary Noise Reduction
12,1,7,0,With Preliminary Noise Reduction
13,1,7,10,Without Preliminary Noise Reduction
14,1,8,2,With Preliminary Noise Reduction
15,1,8,17,Without Preliminary Noise Reduction
16,1,9,0,With Preliminary Noise Reduction
17,1,9,8,Without Preliminary Noise Reduction
18,1,10,9,With Preliminary Noise Reduction
19,1,10,15,Without Preliminary Noise Reduction
20,1,11,3,With Preliminary Noise Reduction
21,1,11,13,Without Preliminary Noise Reduction
22,1,12,8,With Preliminary Noise Reduction
23,1,12,12,Without Preliminary Noise Reduction
24,1,13,3,With Preliminary Noise Reduction
25,1,13,18,Without Preliminary Noise Reduction
26,1,14,2,With Preliminary Noise Reduction
27,1,14,9,Without Preliminary Noise Reduction
28,1,15,0,With Preliminary Noise Reduction
29,1,15,8,Without Preliminary Noise Reduction
30,1,16,2,With Preliminary Noise Reduction
31,1,16,15,Without Preliminary Noise Reduction
32,1,17,4,With Preliminary Noise Reduction
33,1,17,11,Without Preliminary Noise Reduction
34,1,18,2,With Preliminary Noise Reduction
35,1,18,13,Without Preliminary Noise Reduction
36,1,19,2,With Preliminary Noise Reduction
37,1,19,16,Without Preliminary Noise Reduction
38,1,20,7,With Preliminary Noise Reduction
39,1,20,10,Without Preliminary Noise Reduction
40,1,21,1,With Preliminary Noise Reduction
41,1,21,8,Without Preliminary Noise Reduction
42,1,22,5,With Preliminary Noise Reduction
43,1,22,15,Without Preliminary Noise Reduction
44,1,23,9,With Preliminary Noise Reduction
45,1,23,10,Without Preliminary Noise Reduction
46,1,24,2,With Preliminary Noise Reduction
47,1,24,8,Without Preliminary Noise Reduction
48,1,25,4,With Preliminary Noise Reduction
49,1,25,10,Without Preliminary Noise Reduction
50,1,26,4,With Preliminary Noise Reduction
51,1,26,20,Without Preliminary Noise Reduction
52,1,27,4,With Preliminary Noise Reduction
53,1,27,15,Without Preliminary Noise Reduction
54,1,28,10,With Preliminary Noise Reduction
55,1,28,20,Without Preliminary Noise Reduction
56,1,29,3,With Preliminary Noise Reduction
57,1,29,17,Without Preliminary Noise Reduction
58,1,30,8,With Preliminary Noise Reduction
59,1,30,16,Without Preliminary Noise Reduction
60,1,31,5,With Preliminary Noise Reduction
61,1,31,14,Without Preliminary Noise Reduction
62,1,32,7,With Preliminary Noise Reduction
63,1,32,15,Without Preliminary Noise Reduction
64,1,33,8,With Preliminary Noise Reduction
65,1,33,13,Without Preliminary Noise Reduction
66,1,34,2,With Preliminary Noise Reduction
67,1,34,17,Without Preliminary Noise Reduction
68,1,35,2,With Preliminary Noise Reduction
69,1,35,10,Without Preliminary Noise Reduction
70,1,36,5,With Preliminary Noise Reduction
71,1,36,18,Without Preliminary Noise Reduction
72,1,37,10,With Preliminary Noise Reduction
73,1,37,16,Without Preliminary Noise Reduction
74,1,38,9,With Preliminary Noise Reduction
75,1,38,19,Without Preliminary Noise Reduction
76,1,39,6,With Preliminary Noise Reduction
77,1,39,14,Without Preliminary Noise Reduction
78,1,40,2,With Preliminary Noise Reduction
79,1,40,12,Without Preliminary Noise Reduction
80,1,41,3,With Preliminary Noise Reduction
81,1,41,19,Without Preliminary Noise Reduction
82,1,42,8,With Preliminary Noise Reduction
83,1,42,19,Without Preliminary Noise Reduction
84,1,43,8,With Preliminary Noise Reduction
85,1,43,14,Without Preliminary Noise Reduction
86,1,44,5,With Preliminary Noise Reduction
87,1,44,16,Without Preliminary Noise Reduction
88,1,45,10,With Preliminary Noise Reduction
89,1,45,19,Without Preliminary Noise Reduction
90,1,46,8,With Preliminary Noise Reduction
91,1,46,19,Without Preliminary Noise Reduction
92,1,47,9,With Preliminary Noise Reduction
93,1,47,19,Without Preliminary Noise Reduction
94,1,48,4,With Preliminary Noise Reduction
95,1,48,9,Without Preliminary Noise Reduction
96,1,49,6,With Preliminary Noise Reduction
97,1,49,19,Without Preliminary Noise Reduction
98,1,50,7,With Preliminary Noise Reduction
99,1,50,16,Without Preliminary Noise Reduction
100,1,51,4,With Preliminary Noise Reduction
101,1,51,14,Without Preliminary Noise Reduction
102,1,52,3,With Preliminary Noise Reduction
103,1,52,11,Without Preliminary Noise Reduction
104,1,53,5,With Preliminary Noise Reduction
105,1,53,19,Without Preliminary Noise Reduction
106,1,54,3,With Preliminary Noise Reduction
107,1,54,16,Without Preliminary Noise Reduction
108,1,55,5,With Preliminary Noise Reduction
109,1,55,15,Without Preliminary Noise Reduction
110,1,56,9,With Preliminary Noise Reduction
111,1,56,13,Without Preliminary Noise Reduction
112,1,57,4,With Preliminary Noise Reduction
113,1,57,8,Without Preliminary Noise Reduction
114,1,58,10,With Preliminary Noise Reduction
115,1,58,18,Without Preliminary Noise Reduction
116,1,59,10,With Preliminary Noise Reduction
117,1,59,19,Without Preliminary Noise Reduction
118,1,60,2,With Preliminary Noise Reduction
119,1,60,13,Without Preliminary Noise Reduction
120,1,61,0,With Preliminary Noise Reduction
121,1,61,9,Without Preliminary Noise Reduction
122,1,62,0,With Preliminary Noise Reduction
123,1,62,12,Without Preliminary Noise Reduction
124,1,63,5,With Preliminary Noise Reduction
125,1,63,14,Without Preliminary Noise Reduction
126,1,64,0,With Preliminary Noise Reduction
127,1,64,19,Without Preliminary Noise Reduction
128,1,65,7,With Preliminary Noise Reduction
129,1,65,8,Without Preliminary Noise Reduction
130,1,66,8,With Preliminary Noise Reduction
131,1,66,15,Without Preliminary Noise Reduction
132,1,67,9,With Preliminary Noise Reduction
133,1,67,8,Without Preliminary Noise Reduction
134,1,68,9,With Preliminary Noise Reduction
135,1,68,9,Without Preliminary Noise Reduction
136,1,69,4,With Preliminary Noise Reduction
137,1,69,18,Without Preliminary Noise Reduction
138,1,70,10,With Preliminary Noise Reduction
139,1,70,20,Without Preliminary Noise Reduction
140,1,71,10,With Preliminary Noise Reduction
141,1,71,16,Without Preliminary Noise Reduction
142,1,72,0,With Preliminary Noise Reduction
143,1,72,11,Without Preliminary Noise Reduction
144,1,73,2,With Preliminary Noise Reduction
145,1,73,17,Without Preliminary Noise Reduction
146,1,74,8,With Preliminary Noise Reduction
147,1,74,13,Without Preliminary Noise Reduction
148,1,75,7,With Preliminary Noise Reduction
149,1,75,18,Without Preliminary Noise Reduction
150,1,76,6,With Preliminary Noise Reduction
151,1,76,19,Without Preliminary Noise Reduction
152,1,77,4,With Preliminary Noise Reduction
153,1,77,11,Without Preliminary Noise Reduction
154,1,78,7,With Preliminary Noise Reduction
155,1,78,18,Without Preliminary Noise Reduction
156,1,79,1,With Preliminary Noise Reduction
157,1,79,11,Without Preliminary Noise Reduction
158,1,80,6,With Preliminary Noise Reduction
159,1,80,16,Without Preliminary Noise Reduction
160,1,81,8,With Preliminary Noise Reduction
161,1,81,19,Without Preliminary Noise Reduction
162,1,82,3,With Preliminary Noise Reduction
163,1,82,17,Without Preliminary Noise Reduction
164,1,83,8,With Preliminary Noise Reduction
165,1,83,14,Without Preliminary Noise Reduction
166,1,84,1,With Preliminary Noise Reduction
167,1,84,10,Without Preliminary Noise Reduction
168,1,85,6,With Preliminary Noise Reduction
169,1,85,11,Without Preliminary Noise Reduction
170,1,86,9,With Preliminary Noise Reduction
171,1,86,18,Without Preliminary Noise Reduction
172,1,87,9,With Preliminary Noise Reduction
173,1,87,9,Without Preliminary Noise Reduction
174,1,88,10,With Preliminary Noise Reduction
175,1,88,15,Without Preliminary Noise Reduction
176,1,89,3,With Preliminary Noise Reduction
177,1,89,20,Without Preliminary Noise Reduction
178,1,90,3,With Preliminary Noise Reduction
179,1,90,20,Without Preliminary Noise Reduction
180,1,91,5,With Preliminary Noise Reduction
181,1,91,14,Without Preliminary Noise Reduction
182,1,92,9,With Preliminary Noise Reduction
183,1,92,14,Without Preliminary Noise Reduction
184,1,93,9,With Preliminary Noise Reduction
185,1,93,16,Without Preliminary Noise Reduction
186,1,94,0,With Preliminary Noise Reduction
187,1,94,9,Without Preliminary Noise Reduction
188,1,95,9,With Preliminary Noise Reduction
189,1,95,16,Without Preliminary Noise Reduction
190,1,96,2,With Preliminary Noise Reduction
191,1,96,10,Without Preliminary Noise Reduction
192,1,97,7,With Preliminary Noise Reduction
193,1,97,17,Without Preliminary Noise Reduction
194,1,98,7,With Preliminary Noise Reduction
195,1,98,17,Without Preliminary Noise Reduction
196,1,99,7,With Preliminary Noise Reduction
197,1,99,14,Without Preliminary Noise Reduction
198,1,100,5,With Preliminary Noise Reduction
199,1,100,14,Without Preliminary Noise Reduction
200,1,101,7,With Preliminary Noise Reduction
201,1,101,9,Without Preliminary Noise Reduction
202,1,102,4,With Preliminary Noise Reduction
203,1,102,8,Without Preliminary Noise Reduction
204,1,103,4,With Preliminary Noise Reduction
205,1,103,12,Without Preliminary Noise Reduction
206,1,104,7,With Preliminary Noise Reduction
207,1,104,16,Without Preliminary Noise Reduction
208,1,105,6,With Preliminary Noise Reduction
209,1,105,20,Without Preliminary Noise Reduction
210,1,106,3,With Preliminary Noise Reduction
211,1,106,20,Without Preliminary Noise Reduction
212,1,107,4,With Preliminary Noise Reduction
213,1,107,17,Without Preliminary Noise Reduction
214,1,108,7,With Preliminary Noise Reduction
215,1,108,20,Without Preliminary Noise Reduction
216,1,109,8,With Preliminary Noise Reduction
217,1,109,8,Without Preliminary Noise Reduction
218,1,110,3,With Preliminary Noise Reduction
219,1,110,11,Without Preliminary Noise Reduction
220,1,111,6,With Preliminary Noise Reduction
221,1,111,19,Without Preliminary Noise Reduction
222,1,112,6,With Preliminary Noise Reduction
223,1,112,13,Without Preliminary Noise Reduction
224,1,113,0,With Preliminary Noise Reduction
225,1,113,13,Without Preliminary Noise Reduction
226,1,114,4,With Preliminary Noise Reduction
227,1,114,14,Without Preliminary Noise Reduction
228,1,115,5,With Preliminary Noise Reduction
229,1,115,17,Without Preliminary Noise Reduction
230,1,116,2,With Preliminary Noise Reduction
231,1,116,20,Without Preliminary Noise Reduction
232,1,117,0,With Preliminary Noise Reduction
233,1,117,19,Without Preliminary Noise Reduction
234,1,118,4,With Preliminary Noise Reduction
235,1,118,11,Without Preliminary Noise Reduction
236,1,119,2,With Preliminary Noise Reduction
237,1,119,12,Without Preliminary Noise Reduction
238,1,120,0,With Preliminary Noise Reduction
239,1,120,9,Without Preliminary Noise Reduction
240,1,121,0,With Preliminary Noise Reduction
241,1,121,9,Without Preliminary Noise Reduction
242,1,122,0,With Preliminary Noise Reduction
243,1,122,18,Without Preliminary Noise Reduction
244,1,123,9,With Preliminary Noise Reduction
245,1,123,19,Without Preliminary Noise Reduction
246,1,124,8,With Preliminary Noise Reduction
247,1,124,20,Without Preliminary Noise Reduction
