Range DKF,Range RKF,Absolute Value Error,Comments,RMSE Error,0.493572075
2.13504903,2.099425793,0.035623237,,,
2.137714509,2.102184534,0.035529975,,,
2.140379989,2.104943275,0.035436713,,,
2.143045468,2.107702017,0.035343452,,,
2.145710948,2.110460758,0.03525019,,,
2.148376427,2.1132195,0.035156928,,,
2.151041907,2.115978241,0.035063666,,,
2.153707386,2.118736982,0.034970404,,,
2.156372866,2.121495724,0.034877142,,,
2.894835415,2.855380058,0.039455357,,,
3.220229439,3.190412521,0.029816918,,,
3.224215277,3.197352409,0.026862868,,,
3.442824126,3.425112724,0.017711402,,,
3.527086765,3.517552614,0.009534151,,,
3.530676242,3.527545214,0.003131028,,,
3.525753865,3.526720285,0.00096642,,,
3.580640553,3.583445311,0.002804758,,,
3.58504479,3.593566418,0.008521627,,,
3.552453115,3.559510231,0.007057116,,,
3.595988195,3.602037668,0.006049473,,,
3.614692891,3.620245695,0.005552804,,,
3.614659141,3.620127201,0.00546806,,,
3.588942413,3.594551563,0.00560915,,,
3.588238344,3.593594313,0.005355969,,,
3.566877505,3.571991205,0.0051137,,,
3.564692612,3.569396019,0.004703407,,,
3.5477765,3.552120209,0.004343709,,,
3.52523363,3.529120207,0.003886577,,,
3.534073326,3.537414312,0.003340986,,,
3.509984017,3.513096094,0.003112077,,,
3.540509761,3.543189526,0.002679765,,,
3.527974169,3.530529976,0.002555807,,,
3.462779165,3.465052605,0.00227344,,,
3.453726812,3.455204487,0.001477674,,,
3.474721593,3.475642443,0.000920849,,,
3.469270627,3.469906569,0.000635942,,,
3.455276446,3.455653191,0.000376744,,,
3.421765259,3.421824455,5.9196E-05,,,
3.418610513,3.418295622,0.000314891,,,
3.422219001,3.421558857,0.000660144,,,
3.411749496,3.410814524,0.000934973,,,
3.363034354,3.36171031,0.001324044,,,
3.373273087,3.371461153,0.001811934,,,
3.353963027,3.351832867,0.00213016,,,
3.319832485,3.317372561,0.002459925,,,
3.322702476,3.319906235,0.002796241,,,
3.282927865,3.279839277,0.003088588,,,
3.281086045,3.277674913,0.003411132,,,
3.247591215,3.243806601,0.003784614,,,
3.217218882,3.212900877,0.004318005,,,
3.199544463,3.1947999,0.004744563,,,
3.151889017,3.146650791,0.005238226,,,
3.1521569,3.146420717,0.005736183,,,
3.09710791,3.090827942,0.006279968,,,
3.115136723,3.108471632,0.006665091,,,
3.100675307,3.093899965,0.006775342,,,
3.072576311,3.06569314,0.006883171,,,
3.047423619,3.04043746,0.006986159,,,
3.033964375,3.026926994,0.007037381,,,
3.019370385,3.012317419,0.007052966,,,
2.95107564,2.94377327,0.007302371,,,
2.957467391,2.949844837,0.007622554,,,
2.926180483,2.918363571,0.007816912,,,
2.907996004,2.89998126,0.008014744,,,
2.898795594,2.890623331,0.008172263,,,
2.831854666,2.823315382,0.008539284,,,
2.796229833,2.787163734,0.009066098,,,
2.759974442,2.750409842,0.0095646,,,
2.737766544,2.727777481,0.009989063,,,
2.741520947,2.731434822,0.010086125,,,
2.678541077,2.668367386,0.010173691,,,
2.669321688,2.658973932,0.010347756,,,
2.637543394,2.627123594,0.010419799,,,
2.548773009,2.537882328,0.010890681,,,
2.533588361,2.522155046,0.011433314,,,
2.508789176,2.497033119,0.011756057,,,
2.434293056,2.422001362,0.012291694,,,
2.411854487,2.398921728,0.012932759,,,
2.396607018,2.383269787,0.013337232,,,
2.362419141,2.348804474,0.013614667,,,
2.344411858,2.330663681,0.013748177,,,
2.282887364,2.268912315,0.013975049,,,
2.286535845,2.272371531,0.014164314,,,
2.249039368,2.234780312,0.014259057,,,
2.197044706,2.182574987,0.014469718,,,
2.191920623,2.177304506,0.014616116,,,
2.116361215,2.101439476,0.014921739,,,
2.058675054,2.043299437,0.015375617,,,
1.990067202,1.974263668,0.015803534,,,
1.971688627,1.955588579,0.016100048,,,
1.992547537,1.976405382,0.016142155,,,
1.961083843,1.94501543,0.016068413,,,
1.92125968,1.905090094,0.016169586,,,
1.900932224,1.884614944,0.016317279,,,
1.874372364,1.857960582,0.016411782,,,
1.890651531,1.874362707,0.016288824,,,
1.83707354,1.820907116,0.016166424,,,
1.783867485,1.767708898,0.016158587,,,
1.73055744,1.714207888,0.016349553,,,
1.762125338,1.745693088,0.01643225,,,
1.697570361,1.681002736,0.016567625,,,
1.69556079,1.678708076,0.016852714,,,
1.624778414,1.607579112,0.017199302,,,
1.585292094,1.567645907,0.017646187,,,
1.563548839,1.545460343,0.018088495,,,
1.568127125,1.549736977,0.018390149,,,
1.549326277,1.530785918,0.018540359,,,
1.518264586,1.499578357,0.018686229,,,
1.529389142,1.510690451,0.018698691,,,
1.492055698,1.473528862,0.018526836,,,
1.462903882,1.444485426,0.018418456,,,
1.456904971,1.438458443,0.018446529,,,
1.438856875,1.420327663,0.018529212,,,
1.362266415,1.343248367,0.019018048,,,
1.368994303,1.349537492,0.019456811,,,
1.352158731,1.332558274,0.019600456,,,
1.35340246,1.306868672,0.046533788,,,
1.338405647,1.308921218,0.029484429,,,
1.362855911,1.338663816,0.024192094,,,
1.336308488,1.315022469,0.02128602,,,
1.337526233,1.293163419,0.044362815,,,
1.338743979,1.271304369,0.06743961,,,
1.339961724,1.249445319,0.090516405,,,
1.341179469,1.227586269,0.1135932,,,
1.342397214,1.20572722,0.136669995,,,
1.343614959,1.18386817,0.15974679,,,
1.344832705,1.16200912,0.182823585,Unsure what causes this error could be prediction,,
1.34605045,1.14015007,0.20590038,,,
1.347268195,1.11829102,0.228977175,,,
1.426472055,1.32441771,0.102054345,,,
1.372858231,1.313161731,0.0596965,,,
1.378359933,1.340115666,0.038244266,,,
1.411501409,1.384531498,0.026969912,,,
1.399366332,1.378396511,0.020969821,,,
1.401564042,1.383746624,0.017817418,,,
1.409341476,1.393361211,0.015980265,,,
1.423230338,1.408260703,0.014969635,,,
1.43365368,1.419325471,0.014328209,,,
1.434964967,1.415849566,0.019115401,,,
1.456210836,1.43585062,0.020360216,,,
1.457547011,1.433477044,0.024069967,,,
1.458883186,1.431103468,0.027779718,,,
1.46021936,1.428729892,0.031489469,,,
1.574708623,1.539851069,0.034857554,,,
1.565585369,1.542899966,0.022685403,,,
1.567049574,1.54594481,0.021104764,,,
1.618084743,1.596801877,0.021282866,,,
1.619610835,1.602122068,0.017488767,,,
1.621136927,1.60744226,0.013694667,,,
1.693492665,1.669509292,0.023983374,,,
1.695107184,1.677533269,0.017573915,,,
1.696721702,1.685557246,0.011164456,,,
1.69833622,1.693581223,0.004754997,,,
1.699950738,1.701605201,0.001654462,,,
1.701565257,1.709629178,0.008063921,,,
1.703179775,1.717653155,0.014473381,,,
1.704794293,1.725677133,0.02088284,,,
1.706408811,1.73370111,0.027292299,,,
1.70802333,1.741725087,0.033701758,,,
1.709637848,1.749749064,0.040111217,,,
1.711252366,1.757773042,0.046520676,,,
1.712866884,1.765797019,0.052930135,,,
1.714481402,1.773820996,0.059339594,,,
2.151787734,2.087410927,0.064376807,,,
2.153946187,2.109863281,0.044082905,,,
2.15610464,2.132315636,0.023789004,,,
2.158263093,2.15476799,0.003495103,,,
2.160421546,2.177220345,0.016798799,,,
2.162579999,2.199672699,0.0370927,,,
2.164738452,2.222125053,0.057386601,,,
2.166896905,2.244577408,0.077680503,,,
2.169055358,2.267029762,0.097974404,,,
2.171213811,2.289482117,0.118268305,,,
2.173372264,2.311934471,0.138562207,,,
2.413408253,2.391141653,0.0222666,,,
2.637692272,2.631916761,0.005775511,,,
2.64931216,2.653311491,0.003999331,,,
2.694696444,2.704240322,0.009543878,,,
2.709609913,2.722084522,0.012474609,,,
2.712421739,2.756409645,0.043987906,,,
2.715233564,2.790734768,0.075501204,,,
2.71804539,2.825059891,0.107014501,,,
2.720857215,2.859385014,0.138527799,,,
2.72366904,2.893710136,0.170041096,,,
2.784529492,2.836720228,0.052190736,,,
2.787413787,2.866621733,0.079207945,,,
2.790298083,2.896523237,0.106225154,,,
2.94888336,2.997288465,0.048405106,,,
2.951962039,3.030607224,0.078645185,,,
3.102681041,3.142579794,0.039898753,,,
3.118714306,3.146819353,0.028105047,,,
3.107256599,3.129260778,0.022004179,,,
3.136481227,3.155183792,0.018702565,,,
3.139774186,3.187808037,0.048033851,,,
3.143067144,3.220432281,0.077365137,,,
3.146360103,3.253056526,0.106696423,,,
3.149653061,3.285680771,0.13602771,,,
3.15294602,3.318305016,0.165358996,,,
3.156238978,3.35092926,0.194690282,,,
3.159531937,3.383553505,0.224021568,,,
3.162824895,3.41617775,0.253352854,,,
3.166117854,3.448801994,0.28268414,,,
3.169410813,3.481426239,0.312015426,,,
3.172703771,3.514050484,0.341346713,,,
3.17599673,3.546674728,0.370677999,,,
3.179289688,3.579298973,0.400009285,,,
3.182582647,3.611923218,0.429340571,,,
3.185875605,3.644547462,0.458671857,,,
3.189168564,3.677171707,0.488003143,,,
3.192461522,3.709795952,0.51733443,,,
3.195754481,3.742420197,0.546665716,,,
3.199047439,3.775044441,0.575997002,,,
3.202340398,3.807668686,0.605328288,,,
3.205633356,3.840292931,0.634659574,,,
3.208926315,3.872917175,0.66399086,,,
3.212219273,3.90554142,0.693322147,Prediction Error which the next measurement corrects,,
3.777570506,3.970162153,0.192591648,,,
3.78156516,4.004282475,0.222717315,,,
3.904352089,4.01682663,0.112474541,,,
4.023803687,4.08819437,0.064390684,,,
4.028090602,4.123105049,0.095014447,,,
4.032377517,4.158015728,0.125638211,,,
4.036664432,4.192926407,0.156261975,,,
4.19920142,4.264533043,0.065331623,,,
4.216627313,4.257494926,0.040867613,,,
4.268657555,4.297186852,0.028529297,,,
4.329872707,4.352322578,0.022449871,,,
4.36496428,4.3844347,0.01947042,,,
4.368746818,4.386578083,0.017831265,,,
4.448148978,4.465199471,0.017050493,,,
4.462518012,4.479144573,0.016626561,,,
4.502185292,4.518559456,0.016374164,,,
4.582838406,4.599353313,0.016514908,,,
4.598512266,4.615168095,0.016655828,,,
4.625163881,4.641744614,0.016580732,,,
4.603016791,4.619216919,0.016200128,,,
4.629701545,4.645503044,0.015801499,,,
4.691012451,4.706644058,0.015631608,,,
4.707170697,4.722697735,0.015527038,,,
4.749615125,4.765031338,0.015416213,,,
4.754691186,4.798798561,0.044107375,,,
4.759767248,4.832565784,0.072798537,,,
4.789364935,4.819873333,0.030508398,,,
4.753323898,4.775898457,0.022574559,,,
4.880962015,4.899559975,0.018597959,,,
4.886170357,4.93207407,0.045903713,,,
4.891378699,4.964588165,0.073209467,,,
4.89658704,4.997102261,0.10051522,,,
4.901795382,5.029616356,0.127820974,,,
4.916652016,4.962483883,0.045831867,,,
5.005890547,5.035550117,0.029659571,,,
5.021983081,5.043438911,0.02145583,,,
5.048757317,5.06600523,0.017247913,,,
5.008173237,5.023160934,0.014987698,,,
5.007685863,5.021301746,0.013615884,,,
5.033416455,5.046206951,0.012790496,,,
5.069198488,5.08154726,0.012348772,,,
5.074562897,5.10598135,0.031418453,,,
5.058210177,5.076053143,0.017842966,,,
5.063547473,5.097875595,0.034328122,,,
5.086500688,5.10635376,0.019853071,,,
5.091859977,5.12755537,0.035695394,,,
5.097219265,5.148756981,0.051537716,,,
5.102578554,5.169958591,0.067380038,,,
5.107937842,5.191160202,0.08322236,,,
5.11329713,5.212361813,0.099064682,,,
5.118656419,5.233563423,0.114907004,,,
5.124015707,5.254765034,0.130749326,,,
5.129374996,5.275966644,0.146591649,,,
5.134734284,5.297168255,0.162433971,,,
5.140093573,5.318369865,0.178276293,,,
5.145452861,5.339571476,0.194118615,,,
5.150812149,5.360773087,0.209960937,,,
5.156171438,5.381974697,0.225803259,,,
5.161530726,5.403176308,0.241645581,,,
5.166890015,5.424377918,0.257487904,,,
5.172249303,5.445579529,0.273330226,,,
5.177608592,5.466781139,0.289172548,,,
5.18296788,5.48798275,0.30501487,,,
5.188327168,5.509184361,0.320857192,,,
5.193686457,5.530385971,0.336699514,,,
5.199045745,5.551587582,0.352541836,,,
5.204405034,5.572789192,0.368384159,,,
5.209764322,5.593990803,0.384226481,,,
5.21512361,5.615192413,0.400068803,,,
5.220482899,5.636394024,0.415911125,,,
5.225842187,5.657595634,0.431753447,,,
5.231201476,5.678797245,0.447595769,,,
5.236560764,5.699998856,0.463438091,,,
5.241920053,5.721200466,0.479280414,,,
5.247279341,5.742402077,0.495122736,,,
5.252638629,5.763603687,0.510965058,,,
5.257997918,5.784805298,0.52680738,,,
5.263357206,5.806006908,0.542649702,,,
5.268716495,5.827208519,0.558492024,,,
5.274075783,5.84841013,0.574334346,,,
5.279435072,5.86961174,0.590176669,,,
5.28479436,5.890813351,0.606018991,,,
5.290153648,5.912014961,0.621861313,,,
5.295512937,5.933216572,0.637703635,,,
5.300872225,5.954418182,0.653545957,,,
5.306231514,5.975619793,0.669388279,,,
5.311590802,5.996821404,0.685230601,,,
5.31695009,6.018023014,0.701072924,,,
5.322309379,6.039224625,0.716915246,,,
5.327668667,6.060426235,0.732757568,,,
5.333027956,6.081627846,0.74859989,,,
5.338387244,6.102829456,0.764442212,,,
5.343746533,6.124031067,0.780284534,,,
5.349105821,6.145232677,0.796126856,,,
5.354465109,6.166434288,0.811969179,,,
5.359824398,6.187635899,0.827811501,,,
5.365183686,6.208837509,0.843653823,,,
5.370542975,6.23003912,0.859496145,,,
5.375902263,6.25124073,0.875338467,,,
5.381261551,6.272442341,0.891180789,,,
5.38662084,6.293643951,0.907023112,,,
5.391980128,6.314845562,0.922865434,,,
5.397339417,6.336047173,0.938707756,,,
5.402698705,6.357248783,0.954550078,,,
5.408057994,6.378450394,0.9703924,,,
5.413417282,6.399652004,0.986234722,,,
5.41877657,6.420853615,1.002077044,,,
5.424135859,6.442055225,1.017919367,,,
5.429495147,6.463256836,1.033761689,,,
5.434854436,6.484458447,1.049604011,Outside range - Prediction error will not be present when box is applied,,
5.440213724,6.505660057,1.065446333,,,
5.445573013,6.526861668,1.081288655,,,
5.028279427,5.389861584,0.361582157,,,
5.033111058,5.355493546,0.322382487,,,
5.03794269,5.321125507,0.283182817,,,
5.042774322,5.286757469,0.243983147,,,
5.047605954,5.252389431,0.204783477,,,
5.052437586,5.218021393,0.165583807,,,
5.027332341,5.182411194,0.155078853,,,
4.991913791,5.060400963,0.068487172,,,
4.994163016,5.018126965,0.023963948,,,
4.951420613,4.952550411,0.001129798,,,
4.925201808,4.9146595,0.010542308,,,
4.904703285,4.888370514,0.016332771,,,
4.881563009,4.862426758,0.019136251,,,
4.841815581,4.821267128,0.020548453,,,
4.821158923,4.800003529,0.021155394,,,
4.785683863,4.764360428,0.021323436,,,
